Experiment10: ,"Random, 3d, sequence 8, it: 1000"
0,-2
1,-2
2,-2
3,-3
4,-3
5,-3
6,-3
7,-3
8,-3
9,-3
10,-3
11,-3
12,-3
13,-3
14,-3
15,-3
16,-3
17,-3
18,-3
19,-3
20,-3
21,-3
22,-3
23,-3
24,-3
25,-3
26,-3
27,-9
28,-9
29,-9
30,-9
31,-9
32,-9
33,-9
34,-14
35,-14
36,-14
37,-14
38,-14
39,-14
40,-14
41,-14
42,-15
43,-15
44,-15
45,-15
46,-15
47,-15
48,-15
49,-15
50,-15
51,-15
52,-15
53,-15
54,-15
55,-15
56,-15
57,-15
58,-15
59,-15
60,-15
61,-15
62,-15
63,-15
64,-15
65,-15
66,-15
67,-15
68,-15
69,-15
70,-15
71,-15
72,-15
73,-18
74,-18
75,-18
76,-18
77,-18
78,-18
79,-18
80,-18
81,-18
82,-18
83,-18
84,-18
85,-18
86,-18
87,-18
88,-18
89,-18
90,-18
91,-18
92,-18
93,-18
94,-18
95,-18
96,-18
97,-18
98,-18
99,-18
100,-18
101,-18
102,-18
103,-18
104,-18
105,-18
106,-18
107,-18
108,-19
109,-19
110,-19
111,-19
112,-19
113,-19
114,-19
115,-19
116,-19
117,-19
118,-19
119,-19
120,-19
121,-19
122,-19
123,-19
124,-19
125,-19
126,-19
127,-19
128,-19
129,-19
130,-19
131,-19
132,-19
133,-19
134,-19
135,-19
136,-19
137,-19
138,-19
139,-19
140,-19
141,-19
142,-19
143,-19
144,-19
145,-19
146,-19
147,-19
148,-19
149,-19
150,-19
151,-19
152,-19
153,-19
154,-19
155,-19
156,-19
157,-19
158,-19
159,-19
160,-19
161,-19
162,-19
163,-19
164,-19
165,-19
166,-19
167,-19
168,-19
169,-22
170,-22
171,-22
172,-22
173,-22
174,-22
175,-22
176,-22
177,-22
178,-22
179,-22
180,-22
181,-22
182,-22
183,-22
184,-22
185,-22
186,-22
187,-22
188,-22
189,-22
190,-22
191,-22
192,-22
193,-22
194,-22
195,-22
196,-22
197,-22
198,-22
199,-22
200,-22
201,-22
202,-22
203,-22
204,-22
205,-22
206,-22
207,-22
208,-22
209,-22
210,-22
211,-22
212,-22
213,-22
214,-22
215,-22
216,-22
217,-22
218,-22
219,-22
220,-22
221,-22
222,-22
223,-22
224,-22
225,-22
226,-22
227,-22
228,-22
229,-22
230,-22
231,-22
232,-22
233,-22
234,-22
235,-22
236,-22
237,-22
238,-22
239,-22
240,-22
241,-22
242,-22
243,-22
244,-22
245,-22
246,-22
247,-22
248,-22
249,-23
250,-23
251,-23
252,-23
253,-23
254,-23
255,-23
256,-23
257,-23
258,-23
259,-23
260,-23
261,-23
262,-23
263,-23
264,-23
265,-23
266,-23
267,-23
268,-23
269,-23
270,-23
271,-23
272,-23
273,-23
274,-23
275,-23
276,-23
277,-23
278,-23
279,-23
280,-23
281,-23
282,-23
283,-23
284,-23
285,-23
286,-23
287,-23
288,-23
289,-23
290,-23
291,-23
292,-23
293,-23
294,-23
295,-23
296,-23
297,-23
298,-23
299,-23
300,-23
301,-23
302,-23
303,-23
304,-23
305,-23
306,-23
307,-23
308,-23
309,-23
310,-23
311,-23
312,-23
313,-23
314,-23
315,-23
316,-23
317,-23
318,-23
319,-23
320,-23
321,-23
322,-23
323,-23
324,-23
325,-23
326,-23
327,-23
328,-23
329,-23
330,-23
331,-23
332,-23
333,-23
334,-23
335,-23
336,-23
337,-23
338,-23
339,-23
340,-23
341,-23
342,-23
343,-23
344,-23
345,-24
346,-24
347,-24
348,-24
349,-24
350,-24
351,-24
352,-24
353,-24
354,-24
355,-24
356,-24
357,-24
358,-24
359,-24
360,-24
361,-24
362,-24
363,-24
364,-24
365,-24
366,-24
367,-24
368,-24
369,-24
370,-24
371,-24
372,-24
373,-24
374,-24
375,-24
376,-24
377,-24
378,-24
379,-24
380,-24
381,-24
382,-24
383,-24
384,-24
385,-24
386,-24
387,-24
388,-24
389,-24
390,-24
391,-24
392,-24
393,-24
394,-24
395,-24
396,-24
397,-24
398,-24
399,-24
400,-24
401,-24
402,-24
403,-24
404,-24
405,-24
406,-24
407,-24
408,-24
409,-24
410,-24
411,-24
412,-24
413,-24
414,-24
415,-24
416,-24
417,-24
418,-24
419,-24
420,-24
421,-24
422,-24
423,-24
424,-24
425,-24
426,-24
427,-24
428,-24
429,-24
430,-24
431,-24
