Experiment5: ,"Depth, 3d, sequence 1, it: 1000"
0,-4
1,-4
2,-4
3,-4
4,-4
5,-5
6,-5
7,-5
8,-5
9,-5
10,-5
11,-5
12,-5
13,-5
14,-5
15,-5
16,-5
17,-5
18,-5
19,-5
20,-5
21,-5
22,-5
23,-5
24,-5
25,-5
26,-5
27,-5
28,-5
29,-5
30,-5
31,-5
32,-5
33,-5
34,-5
35,-5
36,-5
37,-5
38,-5
39,-5
40,-5
41,-5
42,-5
43,-5
44,-5
45,-5
46,-5
47,-5
48,-5
49,-5
50,-5
51,-5
52,-5
53,-5
54,-5
55,-5
56,-5
57,-5
58,-5
59,-5
60,-5
61,-5
62,-5
63,-5
64,-5
65,-5
66,-5
67,-5
68,-5
69,-5
70,-5
71,-5
72,-5
73,-5
74,-5
75,-5
76,-5
77,-5
78,-5
79,-5
80,-5
81,-5
82,-5
83,-5
84,-5
85,-5
86,-5
87,-5
88,-5
89,-5
90,-5
91,-5
92,-5
93,-5
94,-5
95,-5
96,-5
97,-5
98,-5
99,-5
100,-5
101,-5
102,-5
103,-5
104,-5
105,-5
106,-5
107,-5
108,-5
109,-5
110,-5
111,-5
112,-5
113,-5
114,-5
115,-5
116,-5
117,-5
118,-5
119,-5
120,-5
121,-5
122,-5
123,-5
124,-5
125,-5
126,-5
127,-5
128,-5
129,-5
130,-5
131,-5
132,-5
133,-5
134,-5
135,-5
136,-5
137,-5
138,-5
139,-5
140,-5
141,-5
142,-5
143,-5
144,-5
145,-5
146,-5
147,-5
148,-5
149,-5
150,-5
151,-5
152,-5
153,-5
154,-5
155,-5
156,-5
157,-5
158,-5
159,-5
160,-5
161,-5
162,-5
163,-5
164,-5
165,-5
166,-5
167,-5
168,-5
169,-5
170,-5
171,-5
172,-5
173,-5
174,-5
175,-5
176,-5
177,-5
178,-5
179,-5
180,-5
181,-5
182,-5
183,-5
184,-5
185,-5
186,-5
187,-5
188,-5
189,-5
190,-5
191,-5
192,-5
193,-5
194,-5
195,-5
196,-5
197,-5
198,-5
199,-5
200,-5
201,-5
202,-5
203,-5
204,-5
205,-5
206,-5
207,-5
208,-5
209,-5
210,-5
211,-5
212,-5
213,-5
214,-5
215,-5
216,-5
217,-5
218,-5
219,-5
220,-5
221,-5
222,-5
223,-5
224,-5
225,-5
226,-5
227,-5
228,-5
229,-5
230,-5
231,-5
232,-5
233,-5
234,-5
235,-5
236,-5
237,-5
238,-5
239,-5
240,-5
241,-5
242,-5
243,-5
244,-5
245,-5
246,-5
247,-5
248,-5
249,-5
250,-5
251,-5
252,-5
253,-5
254,-5
255,-5
256,-5
257,-5
258,-5
259,-5
260,-5
261,-5
262,-5
263,-5
264,-5
265,-5
266,-5
267,-5
268,-5
269,-5
270,-5
271,-5
272,-5
273,-5
274,-5
275,-5
276,-5
277,-5
278,-5
279,-5
280,-5
281,-5
282,-5
283,-5
284,-5
285,-5
286,-5
287,-5
288,-5
289,-5
290,-5
291,-5
292,-5
293,-5
294,-5
295,-5
296,-5
297,-5
298,-5
299,-5
300,-5
301,-5
302,-5
303,-5
304,-5
305,-5
306,-5
307,-5
308,-5
309,-5
310,-5
311,-5
312,-5
313,-5
314,-5
315,-5
316,-5
317,-5
318,-5
319,-5
320,-5
321,-5
322,-5
323,-5
324,-5
325,-5
326,-5
327,-5
328,-5
329,-5
330,-5
331,-5
332,-5
333,-5
334,-5
335,-5
336,-5
337,-5
338,-5
339,-5
340,-5
341,-5
342,-5
343,-5
344,-5
345,-5
346,-5
347,-5
348,-5
349,-5
350,-5
351,-5
352,-5
353,-5
354,-5
355,-5
356,-5
357,-5
358,-5
359,-5
360,-5
361,-5
362,-5
363,-5
364,-5
365,-5
366,-5
367,-5
368,-5
369,-5
370,-5
371,-5
372,-5
373,-5
374,-5
375,-5
376,-5
377,-5
378,-5
379,-5
380,-5
381,-5
382,-5
383,-5
384,-5
385,-5
386,-5
387,-5
388,-5
389,-5
390,-5
391,-5
392,-5
393,-5
394,-5
395,-5
396,-5
397,-5
398,-5
399,-5
400,-5
401,-5
402,-5
403,-5
404,-5
405,-5
406,-5
407,-5
408,-5
409,-5
410,-5
411,-5
412,-5
413,-5
414,-5
415,-5
416,-5
417,-5
418,-5
419,-5
420,-5
421,-5
422,-5
423,-5
424,-5
425,-5
426,-5
427,-5
428,-5
429,-5
430,-5
431,-5
432,-5
433,-5
434,-5
435,-5
436,-5
437,-5
438,-5
439,-5
440,-5
441,-5
442,-5
443,-5
444,-5
445,-5
446,-5
447,-5
448,-5
449,-5
450,-5
451,-5
452,-5
453,-5
454,-5
455,-5
456,-5
457,-5
458,-5
459,-5
460,-5
461,-5
462,-5
463,-5
464,-5
465,-5
466,-5
467,-5
468,-5
469,-5
470,-5
471,-5
472,-5
473,-5
474,-5
475,-5
476,-5
477,-5
478,-5
479,-5
480,-5
481,-5
482,-5
483,-5
484,-5
485,-5
486,-5
487,-5
488,-5
489,-5
490,-5
491,-5
492,-5
493,-5
494,-5
495,-5
496,-5
497,-5
498,-5
499,-5
500,-5
501,-5
502,-5
503,-5
504,-5
505,-5
506,-5
507,-5
508,-5
509,-5
510,-5
511,-5
512,-5
513,-5
514,-5
515,-5
516,-5
517,-5
518,-5
519,-5
520,-5
521,-5
522,-5
523,-5
524,-5
525,-5
526,-5
527,-7
528,-7
529,-7
530,-7
531,-7
532,-7
533,-7
534,-7
535,-7
536,-7
537,-7
538,-7
539,-7
540,-7
541,-7
542,-7
543,-7
544,-7
545,-7
546,-7
547,-7
548,-7
549,-7
550,-7
551,-7
552,-7
553,-7
554,-7
555,-7
556,-7
557,-7
558,-7
559,-7
560,-7
561,-7
562,-7
563,-7
564,-7
565,-7
566,-7
567,-7
568,-7
569,-7
570,-7
571,-7
572,-7
573,-7
574,-7
575,-7
576,-7
577,-7
578,-7
579,-7
580,-7
581,-7
582,-7
583,-7
584,-7
585,-7
586,-7
587,-7
588,-7
589,-7
590,-7
591,-7
592,-7
593,-7
594,-7
595,-7
596,-7
597,-7
598,-7
599,-7
600,-7
601,-7
602,-7
603,-7
604,-7
605,-7
606,-7
607,-7
608,-7
609,-7
610,-7
611,-7
612,-7
613,-7
614,-7
615,-7
616,-7
617,-7
618,-7
619,-7
620,-7
621,-7
622,-7
623,-7
624,-7
625,-7
626,-7
627,-7
628,-7
629,-7
630,-7
631,-7
632,-7
633,-7
634,-7
635,-7
636,-7
637,-7
638,-7
639,-7
640,-7
641,-7
642,-7
643,-7
644,-7
645,-7
646,-7
647,-7
648,-7
649,-7
650,-7
651,-7
652,-7
653,-7
654,-7
655,-7
656,-7
657,-7
658,-7
659,-7
660,-7
661,-7
662,-7
663,-7
664,-7
665,-7
666,-7
667,-7
668,-7
669,-7
670,-7
671,-7
672,-7
673,-7
674,-7
675,-7
676,-7
677,-7
678,-7
679,-7
680,-7
681,-7
682,-7
683,-7
684,-7
685,-7
686,-7
687,-7
688,-7
689,-7
690,-7
691,-7
692,-7
693,-7
694,-7
695,-7
696,-7
697,-7
698,-7
699,-7
700,-7
701,-7
702,-7
703,-7
704,-7
705,-7
706,-7
707,-7
708,-7
709,-7
710,-7
711,-7
712,-7
713,-7
714,-7
715,-7
716,-7
717,-7
718,-7
719,-7
720,-7
721,-7
722,-7
723,-7
724,-7
725,-7
726,-7
727,-7
728,-7
729,-7
730,-7
731,-7
732,-7
733,-7
734,-7
735,-7
736,-7
737,-7
738,-7
739,-7
740,-7
741,-7
742,-7
743,-7
744,-7
745,-7
746,-7
747,-7
748,-7
749,-7
750,-7
751,-7
752,-7
753,-7
754,-7
755,-7
756,-7
757,-7
758,-7
759,-7
760,-7
761,-7
762,-7
763,-7
764,-7
765,-7
766,-7
767,-7
768,-7
769,-7
770,-7
771,-7
772,-7
773,-7
774,-7
775,-7
776,-7
777,-7
778,-7
779,-7
780,-7
781,-7
782,-7
783,-7
784,-7
785,-7
786,-7
787,-7
788,-7
789,-7
790,-7
791,-7
792,-7
793,-7
794,-7
795,-7
796,-7
797,-7
798,-7
799,-7
800,-7
801,-7
802,-7
803,-7
804,-7
805,-7
806,-7
807,-7
808,-7
809,-7
810,-7
811,-7
812,-7
813,-7
814,-7
815,-7
816,-7
817,-7
818,-7
819,-7
820,-7
821,-7
822,-7
823,-7
824,-7
825,-7
826,-7
827,-7
828,-7
829,-7
830,-7
831,-7
832,-7
833,-7
834,-7
835,-7
836,-7
837,-7
838,-7
839,-7
840,-7
841,-7
842,-7
843,-7
844,-7
845,-7
846,-7
847,-7
848,-7
849,-7
850,-7
851,-7
852,-7
853,-7
854,-7
855,-7
856,-7
857,-7
858,-7
859,-7
860,-7
861,-7
862,-7
863,-7
864,-7
865,-7
866,-7
867,-7
868,-7
869,-7
870,-7
871,-7
872,-7
873,-7
874,-7
875,-7
876,-7
877,-7
878,-7
879,-7
880,-7
881,-7
882,-7
883,-7
884,-7
885,-7
886,-7
887,-7
888,-7
889,-7
890,-7
891,-7
892,-7
893,-7
894,-7
895,-7
896,-7
897,-7
898,-7
899,-7
900,-7
901,-7
902,-7
903,-7
904,-7
905,-7
906,-7
907,-7
908,-7
909,-7
910,-7
911,-7
912,-7
913,-7
914,-7
915,-7
916,-7
917,-7
918,-7
919,-7
920,-7
921,-7
922,-7
923,-7
924,-7
925,-7
926,-7
927,-7
928,-7
929,-7
930,-7
931,-7
932,-7
933,-7
934,-7
935,-7
936,-7
937,-7
938,-7
939,-7
940,-7
941,-7
942,-7
943,-7
944,-7
945,-7
946,-7
947,-7
948,-7
949,-7
950,-7
951,-7
952,-7
953,-7
954,-7
955,-7
956,-7
957,-7
958,-7
959,-7
960,-7
961,-7
962,-7
963,-7
964,-7
965,-7
966,-7
967,-7
968,-7
969,-7
970,-7
971,-7
972,-7
973,-7
974,-7
975,-7
976,-7
977,-7
978,-7
979,-7
980,-7
981,-7
982,-7
983,-7
984,-7
985,-7
986,-7
987,-7
988,-7
989,-7
990,-7
991,-7
992,-7
993,-7
994,-7
995,-7
996,-7
997,-7
998,-7
999,-7
1000,-7
