Experiment7: ,"Random, 3d, sequence 4, it: 1000"
0,-2
1,-2
2,-2
3,-2
4,-2
5,-2
6,-2
7,-2
8,-2
9,-3
10,-4
11,-4
12,-4
13,-4
14,-4
15,-4
16,-4
17,-4
18,-4
19,-4
20,-4
21,-4
22,-4
23,-4
24,-4
25,-4
26,-4
27,-6
28,-6
29,-7
30,-7
31,-7
32,-7
33,-7
34,-7
35,-7
36,-7
37,-7
38,-7
39,-7
40,-7
41,-7
42,-7
43,-7
44,-7
45,-7
46,-7
47,-7
48,-9
49,-10
50,-10
51,-10
52,-10
53,-10
54,-11
55,-11
56,-11
57,-11
58,-11
59,-11
60,-11
61,-12
62,-12
63,-12
64,-12
65,-12
66,-12
67,-12
68,-12
69,-12
70,-12
71,-12
72,-12
73,-12
74,-12
75,-12
76,-12
77,-12
78,-12
79,-12
80,-12
81,-12
82,-12
83,-12
84,-12
85,-12
86,-12
87,-12
88,-12
89,-12
90,-12
91,-12
92,-12
93,-12
94,-12
95,-12
96,-12
97,-12
98,-12
99,-12
100,-12
101,-12
102,-12
103,-12
104,-12
105,-12
106,-12
107,-12
108,-12
109,-12
110,-12
111,-12
112,-12
113,-12
114,-12
115,-12
116,-12
117,-12
118,-12
119,-12
120,-12
121,-12
122,-12
123,-13
124,-13
125,-13
126,-13
127,-13
128,-13
129,-13
130,-13
131,-13
132,-13
133,-13
134,-13
135,-13
136,-13
137,-13
138,-13
139,-13
140,-13
141,-13
142,-13
143,-13
144,-13
145,-13
146,-13
147,-13
148,-13
149,-13
150,-13
151,-13
152,-13
153,-13
154,-13
155,-13
156,-13
157,-13
158,-13
159,-13
160,-13
161,-13
162,-13
163,-13
164,-13
165,-13
166,-13
167,-13
168,-13
169,-13
170,-13
171,-13
172,-13
173,-13
174,-13
175,-13
176,-13
177,-13
178,-13
179,-13
180,-13
181,-13
182,-13
183,-13
184,-13
185,-13
186,-13
187,-13
188,-13
189,-13
190,-13
191,-13
192,-13
193,-13
194,-13
195,-13
196,-13
197,-13
198,-13
199,-13
200,-13
201,-13
202,-13
203,-13
204,-13
205,-13
206,-13
207,-13
208,-13
209,-13
210,-13
211,-13
212,-13
213,-13
214,-13
215,-13
216,-13
217,-13
218,-13
219,-13
220,-13
221,-13
222,-13
223,-13
224,-13
225,-13
226,-13
227,-13
228,-13
229,-13
230,-13
231,-13
232,-13
233,-13
234,-13
235,-13
236,-13
237,-13
238,-13
239,-13
240,-13
241,-13
242,-13
243,-13
244,-13
245,-13
246,-13
247,-13
248,-13
249,-13
250,-13
251,-13
252,-13
253,-13
254,-13
255,-13
256,-13
257,-13
258,-13
259,-16
260,-16
261,-16
262,-16
263,-16
264,-18
265,-18
266,-18
267,-18
268,-18
269,-18
270,-18
271,-18
272,-18
273,-18
274,-18
275,-18
276,-18
277,-18
278,-18
279,-18
280,-18
281,-18
282,-18
283,-18
284,-18
285,-18
286,-18
287,-18
288,-18
289,-18
290,-18
291,-18
292,-18
293,-18
294,-18
295,-18
296,-18
297,-18
298,-18
299,-18
300,-18
301,-18
302,-18
303,-18
304,-18
305,-18
306,-18
307,-18
308,-18
309,-18
310,-18
311,-18
312,-18
313,-18
314,-18
315,-18
316,-18
317,-18
318,-18
319,-18
320,-18
321,-18
322,-18
323,-18
324,-18
325,-18
326,-18
327,-18
328,-18
329,-18
330,-18
331,-18
332,-18
333,-18
334,-18
335,-18
336,-18
337,-18
338,-18
339,-18
340,-18
341,-18
342,-18
343,-18
344,-18
345,-18
346,-18
347,-18
348,-18
349,-18
350,-18
351,-18
352,-18
353,-18
354,-18
355,-18
356,-18
357,-18
358,-18
359,-18
360,-18
361,-18
362,-18
363,-18
364,-18
365,-18
366,-18
367,-18
368,-18
369,-18
370,-18
371,-18
372,-18
373,-18
374,-18
375,-18
376,-18
377,-18
378,-18
379,-18
380,-18
381,-18
382,-18
383,-18
384,-18
385,-18
386,-18
387,-18
388,-18
389,-18
390,-18
391,-18
392,-18
393,-18
394,-18
395,-18
396,-18
397,-18
398,-18
399,-18
400,-18
401,-18
402,-18
403,-18
404,-18
405,-18
406,-18
407,-18
408,-18
409,-18
410,-18
411,-18
412,-18
413,-18
414,-18
415,-18
416,-18
417,-18
418,-18
419,-18
420,-18
421,-18
422,-18
423,-18
424,-18
425,-18
426,-18
427,-18
428,-18
429,-18
430,-18
431,-18
