Experiment12: ,"Straight, 3d, sequence 7, it: 1000"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
30,-1
31,-1
32,-1
33,-1
34,-1
35,-1
36,-1
37,-1
38,-1
39,-1
40,-1
41,-1
42,-1
43,-1
44,-2
45,-2
46,-2
47,-2
48,-2
49,-2
50,-2
51,-2
52,-2
53,-2
54,-2
55,-2
56,-2
57,-2
58,-2
59,-2
60,-2
61,-2
62,-2
63,-2
64,-2
65,-2
66,-2
67,-2
68,-2
69,-2
70,-2
71,-2
72,-2
73,-2
74,-2
75,-2
76,-2
77,-2
78,-2
79,-2
80,-2
81,-2
82,-2
83,-2
84,-2
85,-3
86,-3
87,-3
88,-3
89,-3
90,-3
91,-3
92,-3
93,-8
94,-8
95,-8
96,-8
97,-8
98,-8
99,-8
100,-8
101,-8
102,-8
103,-8
104,-8
105,-8
106,-8
107,-8
108,-8
109,-8
110,-8
111,-8
112,-8
113,-8
114,-8
115,-8
116,-8
117,-8
118,-8
119,-8
120,-8
121,-8
122,-8
123,-9
124,-9
125,-9
126,-9
127,-9
128,-9
129,-9
130,-11
131,-11
132,-11
133,-11
134,-11
135,-11
136,-11
137,-11
138,-11
139,-12
140,-12
141,-12
142,-12
143,-12
144,-12
145,-12
146,-12
147,-12
148,-12
149,-13
150,-13
151,-13
152,-13
153,-13
154,-13
155,-13
156,-13
157,-13
158,-13
159,-13
160,-13
161,-13
162,-13
163,-13
164,-13
165,-14
166,-14
167,-14
168,-14
169,-14
170,-14
171,-14
172,-14
173,-14
174,-14
175,-14
176,-14
177,-14
178,-14
179,-14
180,-14
181,-14
182,-14
183,-14
184,-14
185,-14
186,-14
187,-14
188,-14
189,-14
190,-14
191,-14
192,-14
193,-14
194,-14
195,-14
196,-14
197,-14
198,-14
199,-14
200,-14
201,-14
202,-14
203,-14
204,-14
205,-14
206,-14
207,-14
208,-14
209,-14
210,-14
211,-14
212,-14
213,-14
214,-14
215,-14
216,-14
217,-14
218,-14
219,-14
220,-14
221,-14
222,-14
223,-14
224,-14
225,-14
226,-14
227,-14
228,-14
229,-14
230,-14
231,-14
232,-14
233,-14
234,-14
235,-14
236,-14
237,-14
238,-14
239,-14
240,-14
241,-14
242,-14
243,-14
244,-14
245,-14
246,-14
247,-14
248,-14
249,-14
250,-14
251,-14
252,-14
253,-14
254,-14
255,-14
256,-14
257,-14
258,-14
259,-14
260,-14
261,-14
262,-14
263,-14
264,-14
265,-14
266,-14
267,-14
268,-14
269,-14
270,-14
271,-14
272,-14
273,-14
274,-14
275,-14
276,-14
277,-14
278,-14
279,-14
280,-14
281,-14
282,-14
283,-14
284,-14
285,-14
286,-16
287,-16
288,-16
289,-16
290,-16
291,-16
292,-16
293,-16
294,-16
295,-16
296,-16
297,-16
298,-16
299,-16
300,-18
301,-18
302,-18
303,-18
304,-18
305,-18
306,-18
307,-18
308,-18
309,-18
310,-18
311,-18
312,-18
313,-18
314,-18
315,-18
316,-18
317,-18
318,-18
319,-18
320,-18
321,-18
322,-18
323,-18
324,-18
325,-18
326,-18
327,-18
328,-18
329,-18
330,-18
331,-18
332,-18
333,-18
334,-18
335,-18
336,-18
337,-18
338,-18
339,-18
340,-18
341,-18
342,-18
343,-18
344,-18
345,-18
346,-18
347,-18
348,-18
349,-18
350,-18
351,-18
352,-18
353,-18
354,-18
355,-18
356,-18
357,-18
358,-18
359,-18
360,-18
361,-18
362,-18
363,-18
364,-18
365,-18
366,-18
367,-18
368,-18
369,-18
370,-18
371,-18
372,-18
373,-18
374,-18
375,-18
376,-18
377,-18
378,-18
379,-18
380,-18
381,-18
382,-18
383,-18
384,-18
385,-18
386,-18
387,-18
388,-18
389,-18
390,-19
391,-19
392,-19
393,-19
394,-19
395,-19
396,-19
397,-21
398,-21
399,-21
400,-21
401,-21
402,-21
403,-21
404,-21
405,-21
406,-21
407,-21
408,-21
409,-21
410,-21
411,-21
412,-21
413,-21
414,-21
415,-21
416,-21
417,-21
418,-21
419,-21
420,-21
421,-21
422,-21
423,-21
