Experiment11: ,"Depth, 3d, sequence 8, it: 1000"
0,-4
1,-5
2,-5
3,-5
4,-5
5,-5
6,-10
7,-17
8,-17
9,-17
10,-17
11,-17
12,-17
13,-17
14,-17
15,-17
16,-17
17,-17
18,-17
19,-17
20,-17
21,-17
22,-19
23,-19
24,-19
25,-19
26,-19
27,-19
28,-19
29,-19
30,-19
31,-19
32,-19
33,-19
34,-19
35,-19
36,-19
37,-19
38,-19
39,-19
40,-19
41,-19
42,-19
43,-19
44,-19
45,-19
46,-19
47,-19
48,-19
49,-19
50,-19
51,-19
52,-19
53,-19
54,-19
55,-19
56,-19
57,-19
58,-19
59,-19
60,-19
61,-19
62,-19
63,-19
64,-19
65,-19
66,-19
67,-19
68,-19
69,-19
70,-19
71,-19
72,-19
73,-19
74,-19
75,-19
76,-19
77,-19
78,-19
79,-19
80,-19
81,-19
82,-19
83,-19
84,-19
85,-19
86,-19
87,-19
88,-19
89,-19
90,-19
91,-19
92,-19
93,-19
94,-19
95,-19
96,-19
97,-19
98,-19
99,-19
100,-19
101,-19
102,-19
103,-19
104,-19
105,-19
106,-19
107,-19
108,-19
109,-19
110,-19
111,-19
112,-19
113,-19
114,-19
115,-19
116,-19
117,-19
118,-19
119,-19
120,-19
121,-19
122,-19
123,-19
124,-19
125,-19
126,-19
127,-19
128,-19
129,-19
130,-19
131,-19
132,-19
133,-19
134,-19
135,-19
136,-19
137,-19
138,-19
139,-19
140,-19
141,-19
142,-19
143,-19
144,-19
145,-19
146,-19
147,-19
148,-19
149,-19
150,-19
151,-19
152,-19
153,-19
154,-19
155,-19
156,-19
157,-19
158,-19
159,-19
160,-19
161,-19
162,-19
163,-19
164,-19
165,-19
166,-19
167,-19
168,-19
169,-19
170,-19
171,-19
172,-19
173,-19
174,-19
175,-19
176,-19
177,-19
178,-19
179,-19
180,-19
181,-19
182,-19
183,-20
184,-20
185,-20
186,-20
187,-20
188,-20
189,-20
190,-20
191,-20
192,-20
193,-20
194,-20
195,-20
196,-20
197,-20
198,-20
199,-20
200,-20
201,-20
202,-20
203,-20
204,-20
205,-20
206,-20
207,-20
208,-20
209,-20
210,-20
211,-20
212,-20
213,-20
214,-20
215,-20
216,-20
217,-20
218,-20
219,-20
220,-20
221,-20
222,-20
223,-20
224,-20
225,-20
226,-20
227,-20
228,-20
229,-20
230,-20
231,-20
232,-20
233,-20
234,-20
235,-20
236,-20
237,-20
238,-20
239,-20
240,-20
241,-20
242,-20
243,-20
244,-20
245,-20
246,-20
247,-20
248,-20
249,-20
250,-20
251,-20
252,-20
253,-20
254,-20
255,-20
256,-20
257,-20
258,-20
259,-20
260,-20
261,-20
262,-20
263,-20
264,-20
265,-20
266,-20
267,-20
268,-20
269,-20
270,-20
271,-20
272,-20
273,-20
274,-20
275,-20
276,-20
277,-20
278,-20
279,-20
280,-20
281,-20
282,-20
283,-20
284,-20
285,-20
286,-20
287,-20
288,-20
289,-20
290,-20
291,-20
292,-20
293,-20
294,-20
295,-20
296,-20
297,-20
298,-20
299,-20
300,-20
301,-20
302,-20
303,-20
304,-20
305,-20
306,-20
307,-20
308,-20
309,-20
310,-20
311,-20
312,-20
313,-20
314,-20
315,-20
316,-20
317,-20
318,-20
319,-20
320,-20
321,-20
322,-20
323,-20
324,-20
325,-20
326,-20
327,-20
328,-20
329,-20
330,-20
331,-20
332,-20
333,-20
334,-20
335,-20
336,-20
337,-20
338,-20
339,-20
340,-20
341,-20
342,-20
343,-20
344,-20
345,-20
346,-20
347,-20
348,-20
349,-20
350,-20
351,-20
352,-20
353,-20
354,-20
355,-20
356,-20
357,-20
358,-20
359,-20
360,-20
361,-20
362,-20
363,-20
364,-20
365,-20
366,-20
367,-20
368,-20
369,-20
370,-20
371,-20
372,-20
373,-20
374,-20
375,-20
376,-20
377,-20
378,-20
379,-20
380,-20
381,-20
382,-20
383,-20
384,-20
385,-21
386,-21
387,-21
388,-21
389,-21
390,-21
391,-21
392,-21
393,-21
394,-21
395,-21
396,-21
397,-21
398,-21
399,-21
400,-21
401,-21
402,-21
403,-21
404,-21
405,-21
406,-21
407,-21
408,-21
409,-21
410,-21
411,-21
412,-21
413,-21
414,-21
415,-21
416,-21
417,-21
418,-21
419,-21
420,-21
421,-21
422,-21
423,-21
424,-21
425,-21
426,-21
427,-21
428,-21
429,-21
430,-21
431,-21
432,-21
433,-21
434,-21
435,-21
436,-23
437,-23
438,-23
439,-23
440,-23
441,-23
442,-23
443,-23
444,-23
445,-23
446,-23
447,-23
448,-23
449,-23
450,-23
451,-23
452,-23
453,-23
454,-23
455,-23
456,-23
457,-23
458,-23
459,-23
460,-23
461,-23
462,-23
463,-23
464,-23
465,-23
466,-23
467,-23
468,-23
469,-23
470,-23
471,-23
472,-23
473,-23
474,-23
475,-23
476,-23
477,-23
478,-23
479,-23
480,-23
481,-23
482,-23
483,-23
484,-23
485,-23
486,-23
487,-23
488,-23
489,-23
490,-23
491,-23
492,-23
493,-23
494,-23
495,-23
496,-23
497,-23
498,-23
499,-23
500,-23
501,-23
502,-23
503,-23
504,-23
505,-23
506,-23
507,-23
508,-23
509,-23
510,-23
511,-23
512,-23
513,-23
514,-23
515,-23
516,-23
517,-23
518,-23
519,-23
520,-23
521,-23
522,-23
523,-23
524,-23
525,-23
526,-23
527,-23
528,-23
529,-23
530,-23
531,-23
532,-23
533,-23
534,-23
535,-23
536,-23
537,-23
538,-23
539,-23
540,-23
541,-23
542,-23
543,-23
544,-23
545,-23
546,-23
547,-23
548,-23
549,-23
550,-23
551,-23
552,-23
553,-23
554,-23
555,-23
556,-23
557,-23
558,-23
559,-23
560,-23
561,-23
562,-23
563,-23
564,-23
565,-23
566,-23
567,-23
568,-23
569,-23
570,-23
571,-23
572,-23
573,-23
574,-23
575,-23
576,-23
577,-23
578,-23
579,-23
580,-23
581,-23
582,-23
583,-23
584,-23
585,-23
586,-23
587,-23
588,-23
589,-23
590,-23
591,-23
592,-23
593,-23
594,-23
595,-23
596,-23
597,-23
598,-23
599,-23
600,-23
601,-23
602,-23
603,-23
604,-23
605,-23
606,-23
607,-23
608,-23
609,-23
610,-23
611,-23
612,-23
613,-23
614,-23
615,-23
616,-23
617,-23
618,-23
619,-23
620,-23
621,-23
622,-23
623,-23
624,-23
625,-23
626,-23
627,-23
628,-23
629,-23
630,-23
631,-23
632,-23
633,-23
634,-23
635,-23
636,-23
637,-23
638,-23
639,-23
640,-23
641,-23
642,-23
643,-23
644,-23
645,-23
646,-23
647,-23
648,-23
649,-23
650,-23
651,-23
652,-23
653,-23
654,-23
655,-23
656,-23
657,-23
658,-23
659,-23
660,-23
661,-23
662,-23
663,-23
664,-23
665,-23
666,-23
667,-23
668,-23
669,-23
670,-23
671,-23
672,-23
673,-23
674,-23
675,-23
676,-23
677,-23
678,-23
679,-23
680,-23
681,-23
682,-23
683,-23
684,-23
685,-23
686,-23
687,-23
688,-23
689,-23
690,-23
691,-23
692,-23
693,-23
694,-23
695,-23
696,-23
697,-23
698,-23
699,-23
700,-23
701,-23
702,-23
703,-23
704,-23
705,-23
706,-23
707,-23
708,-23
709,-23
710,-23
711,-23
712,-23
713,-24
714,-24
715,-24
716,-24
717,-24
718,-24
719,-24
720,-24
721,-24
722,-24
723,-24
724,-24
725,-24
726,-24
727,-24
728,-24
729,-24
730,-24
731,-24
732,-24
733,-24
734,-24
735,-24
736,-24
737,-24
738,-24
739,-24
740,-24
741,-24
742,-24
743,-24
744,-24
745,-24
746,-24
747,-24
748,-24
749,-24
750,-24
751,-24
752,-24
753,-24
754,-24
755,-24
756,-24
757,-24
758,-24
759,-24
760,-24
761,-24
762,-24
763,-24
764,-24
765,-24
766,-24
767,-24
768,-24
769,-24
770,-24
771,-24
772,-24
773,-24
774,-24
775,-24
776,-24
777,-24
778,-24
779,-24
780,-24
781,-24
782,-24
783,-24
784,-24
785,-24
786,-24
787,-24
788,-24
789,-24
790,-24
791,-24
792,-24
793,-24
794,-24
795,-24
796,-24
797,-24
798,-24
799,-24
800,-24
801,-24
802,-24
803,-24
804,-24
805,-24
806,-24
807,-24
808,-24
809,-24
810,-24
811,-24
812,-24
813,-24
814,-24
815,-24
816,-24
817,-24
818,-24
819,-24
820,-24
821,-24
822,-24
823,-24
824,-24
825,-24
826,-24
827,-24
828,-24
829,-24
830,-24
831,-24
832,-24
833,-24
834,-24
835,-24
836,-24
837,-24
838,-24
