Experiment8: ,"Depth, 3d, sequence 4, it: 1000"
0,-4
1,-7
2,-7
3,-7
4,-7
5,-7
6,-7
7,-7
8,-9
9,-9
10,-9
11,-9
12,-9
13,-9
14,-9
15,-9
16,-9
17,-9
18,-9
19,-9
20,-9
21,-9
22,-9
23,-9
24,-9
25,-9
26,-9
27,-9
28,-9
29,-10
30,-10
31,-10
32,-10
33,-10
34,-10
35,-10
36,-11
37,-11
38,-11
39,-11
40,-11
41,-11
42,-11
43,-11
44,-11
45,-11
46,-11
47,-11
48,-11
49,-11
50,-11
51,-11
52,-11
53,-11
54,-11
55,-11
56,-12
57,-12
58,-12
59,-12
60,-12
61,-12
62,-12
63,-12
64,-14
65,-14
66,-14
67,-14
68,-14
69,-14
70,-14
71,-14
72,-14
73,-14
74,-14
75,-15
76,-15
77,-15
78,-15
79,-15
80,-15
81,-15
82,-15
83,-15
84,-15
85,-15
86,-15
87,-15
88,-15
89,-15
90,-15
91,-15
92,-15
93,-15
94,-15
95,-15
96,-15
97,-15
98,-15
99,-15
100,-15
101,-15
102,-15
103,-15
104,-15
105,-15
106,-15
107,-15
108,-15
109,-15
110,-15
111,-15
112,-15
113,-15
114,-15
115,-15
116,-15
117,-15
118,-15
119,-15
120,-15
121,-15
122,-15
123,-15
124,-15
125,-15
126,-15
127,-15
128,-15
129,-15
130,-15
131,-15
132,-15
133,-15
134,-15
135,-15
136,-15
137,-15
138,-15
139,-15
140,-15
141,-15
142,-15
143,-15
144,-15
145,-15
146,-15
147,-15
148,-15
149,-15
150,-15
151,-15
152,-15
153,-15
154,-15
155,-15
156,-15
157,-15
158,-15
159,-15
160,-15
161,-15
162,-15
163,-15
164,-15
165,-15
166,-15
167,-15
168,-15
169,-15
170,-15
171,-15
172,-15
173,-15
174,-15
175,-15
176,-15
177,-15
178,-15
179,-15
180,-15
181,-15
182,-15
183,-15
184,-15
185,-15
186,-15
187,-15
188,-15
189,-15
190,-15
191,-15
192,-15
193,-15
194,-15
195,-15
196,-15
197,-18
198,-18
199,-18
200,-18
201,-18
202,-18
203,-18
204,-18
205,-18
206,-18
207,-18
208,-18
209,-18
210,-18
211,-18
212,-18
213,-18
214,-18
215,-18
216,-18
217,-18
218,-18
219,-18
220,-18
221,-18
222,-18
223,-18
224,-18
225,-18
226,-18
227,-18
228,-18
229,-18
230,-18
231,-18
232,-18
233,-18
234,-18
235,-18
236,-18
237,-18
238,-18
239,-18
240,-18
241,-18
242,-18
243,-18
244,-18
245,-18
246,-18
247,-18
248,-18
249,-18
250,-18
251,-18
252,-18
253,-18
254,-18
255,-18
256,-18
257,-18
258,-18
259,-18
260,-18
261,-18
262,-18
263,-18
264,-18
265,-18
266,-18
267,-18
268,-18
269,-18
270,-18
271,-18
272,-18
273,-18
274,-18
275,-18
276,-18
277,-18
278,-18
279,-18
280,-18
281,-18
282,-18
283,-18
284,-18
285,-18
286,-18
287,-18
288,-18
289,-18
290,-18
291,-18
292,-18
293,-18
294,-18
295,-18
296,-18
297,-18
298,-18
299,-18
300,-18
301,-18
302,-18
303,-18
304,-18
305,-18
306,-18
307,-18
308,-18
309,-18
310,-18
311,-18
312,-18
313,-18
314,-18
315,-18
316,-18
317,-18
318,-18
319,-18
320,-18
321,-18
322,-18
323,-18
