Experiment10: ,"Random, 3d, sequence 8, it: 1000"
0,-10
1,-10
2,-10
3,-12
4,-12
5,-12
6,-12
7,-12
8,-12
9,-12
10,-12
11,-12
12,-12
13,-12
14,-12
15,-12
16,-12
17,-12
18,-12
19,-12
20,-12
21,-12
22,-12
23,-13
24,-13
25,-13
26,-15
27,-16
28,-16
29,-16
30,-16
31,-16
32,-16
33,-16
34,-16
35,-16
36,-16
37,-16
38,-16
39,-16
40,-16
41,-16
42,-16
43,-16
44,-16
45,-16
46,-16
47,-16
48,-16
49,-16
50,-16
51,-16
52,-16
53,-16
54,-16
55,-16
56,-16
57,-16
58,-16
59,-16
60,-16
61,-16
62,-16
63,-16
64,-16
65,-16
66,-16
67,-16
68,-16
69,-16
70,-16
71,-16
72,-16
73,-16
74,-16
75,-16
76,-16
77,-16
78,-16
79,-16
80,-16
81,-16
82,-16
83,-16
84,-16
85,-16
86,-16
87,-16
88,-16
89,-16
90,-16
91,-16
92,-16
93,-16
94,-16
95,-16
96,-16
97,-16
98,-16
99,-16
100,-16
101,-16
102,-16
103,-16
104,-16
105,-16
106,-16
107,-16
108,-16
109,-16
110,-16
111,-16
112,-16
113,-16
114,-16
115,-16
116,-16
117,-16
118,-16
119,-16
120,-16
121,-16
122,-16
123,-16
124,-16
125,-16
126,-16
127,-16
128,-16
129,-16
130,-16
131,-16
132,-17
133,-17
134,-17
135,-17
136,-17
137,-17
138,-17
139,-17
140,-17
141,-17
142,-17
143,-17
144,-17
145,-17
146,-17
147,-17
148,-17
149,-17
150,-18
151,-18
152,-18
153,-18
154,-18
155,-18
156,-19
157,-19
158,-19
159,-19
160,-19
161,-19
162,-19
163,-20
164,-20
165,-20
166,-20
167,-20
168,-20
169,-20
170,-20
171,-20
172,-20
173,-20
174,-20
175,-20
176,-20
177,-20
178,-20
179,-20
180,-20
181,-20
182,-20
183,-20
184,-20
185,-20
186,-20
187,-20
188,-20
189,-20
190,-20
191,-20
192,-20
193,-20
194,-20
195,-20
196,-20
197,-20
198,-20
199,-20
200,-20
201,-20
202,-20
203,-20
204,-20
205,-20
206,-20
207,-20
208,-20
209,-20
210,-20
211,-20
212,-20
213,-20
214,-20
215,-20
216,-20
217,-20
218,-20
219,-20
220,-20
221,-20
222,-20
223,-20
224,-20
225,-20
226,-20
227,-20
228,-20
229,-20
230,-20
231,-20
232,-20
233,-20
234,-20
235,-20
236,-20
237,-20
238,-20
239,-20
240,-20
241,-20
242,-20
243,-20
244,-20
245,-20
