Experiment10: ,"Random, 3d, sequence 8, it: 1000"
0,-4
1,-5
2,-6
3,-6
4,-6
5,-6
6,-6
7,-6
8,-6
9,-6
10,-6
11,-6
12,-6
13,-6
14,-6
15,-7
16,-7
17,-7
18,-7
19,-7
20,-7
21,-7
22,-7
23,-7
24,-7
25,-7
26,-7
27,-7
28,-7
29,-7
30,-7
31,-7
32,-7
33,-7
34,-7
35,-7
36,-8
37,-8
38,-8
39,-8
40,-8
41,-8
42,-8
43,-8
44,-8
45,-8
46,-8
47,-8
48,-8
49,-8
50,-8
51,-8
52,-8
53,-8
54,-8
55,-8
56,-8
57,-8
58,-8
59,-9
60,-10
61,-10
62,-10
63,-10
64,-10
65,-10
66,-10
67,-10
68,-10
69,-11
70,-11
71,-11
72,-11
73,-11
74,-11
75,-11
76,-11
77,-11
78,-12
79,-12
80,-12
81,-12
82,-12
83,-12
84,-12
85,-14
86,-14
87,-14
88,-14
89,-14
90,-14
91,-14
92,-14
93,-14
94,-14
95,-14
96,-14
97,-14
98,-14
99,-14
100,-14
101,-14
102,-14
103,-14
104,-14
105,-14
106,-14
107,-14
108,-14
109,-14
110,-14
111,-14
112,-14
113,-14
114,-14
115,-14
116,-14
117,-14
118,-14
119,-14
120,-14
121,-14
122,-14
123,-14
124,-14
125,-14
126,-14
127,-14
128,-14
129,-14
130,-14
131,-14
132,-14
133,-14
134,-14
135,-14
136,-14
137,-14
138,-14
139,-14
140,-14
141,-14
142,-14
143,-14
144,-14
145,-14
146,-14
147,-14
148,-14
149,-14
150,-14
151,-14
152,-14
153,-14
154,-14
155,-14
156,-14
157,-14
158,-14
159,-14
160,-14
161,-14
162,-14
163,-14
164,-14
165,-14
166,-14
167,-14
168,-14
169,-14
170,-14
171,-14
172,-14
173,-14
174,-14
175,-14
176,-14
177,-14
178,-14
179,-14
180,-14
181,-14
182,-14
183,-14
184,-14
185,-14
186,-14
187,-14
188,-14
189,-14
190,-14
191,-14
192,-14
193,-14
194,-14
195,-14
196,-14
197,-14
198,-14
199,-16
200,-16
201,-16
202,-16
203,-16
204,-16
205,-16
206,-16
207,-16
208,-16
209,-16
210,-16
211,-16
212,-16
213,-16
214,-16
215,-16
216,-16
217,-16
218,-16
219,-16
220,-16
221,-16
222,-16
223,-16
224,-16
225,-16
226,-16
227,-16
228,-16
229,-16
230,-16
231,-16
232,-16
233,-16
234,-16
235,-16
236,-16
237,-16
238,-16
239,-16
240,-16
241,-16
242,-16
243,-16
244,-16
245,-16
246,-16
247,-16
248,-16
249,-16
250,-16
251,-16
252,-16
253,-16
254,-16
255,-17
256,-17
257,-17
258,-17
259,-17
260,-17
261,-17
262,-17
263,-17
264,-17
265,-17
266,-17
267,-17
268,-17
269,-17
270,-17
271,-17
272,-17
273,-17
274,-17
275,-17
276,-17
277,-17
278,-17
279,-17
280,-17
281,-17
282,-17
283,-17
284,-17
285,-17
286,-17
287,-17
288,-17
289,-17
290,-17
291,-17
292,-17
293,-17
294,-17
295,-17
296,-17
297,-17
298,-17
299,-17
300,-17
301,-17
302,-17
303,-17
304,-17
305,-17
306,-17
307,-17
308,-17
309,-17
310,-17
311,-17
312,-17
313,-17
314,-17
315,-17
316,-17
317,-17
318,-17
319,-17
320,-17
321,-17
322,-17
323,-17
324,-17
325,-17
326,-17
327,-17
328,-17
329,-17
330,-17
331,-17
332,-17
333,-17
334,-17
335,-17
336,-17
337,-17
338,-17
339,-17
340,-17
341,-17
342,-17
343,-17
344,-17
345,-17
346,-17
347,-17
348,-17
349,-17
350,-17
351,-17
352,-17
353,-17
354,-17
355,-17
356,-17
357,-17
358,-17
359,-17
360,-17
361,-17
362,-17
363,-17
364,-17
365,-17
366,-17
367,-17
368,-17
369,-17
370,-17
371,-17
372,-17
373,-17
374,-17
375,-17
376,-17
377,-17
378,-17
379,-17
380,-17
381,-17
382,-17
383,-17
384,-17
385,-17
386,-17
387,-17
388,-17
389,-17
390,-17
391,-17
392,-17
393,-17
394,-17
395,-17
396,-17
397,-17
398,-17
399,-17
400,-17
401,-17
402,-17
403,-17
404,-17
405,-17
406,-17
407,-17
408,-17
409,-17
410,-17
411,-17
412,-17
413,-17
414,-17
415,-17
416,-17
417,-17
418,-17
419,-17
420,-18
421,-18
422,-18
423,-18
424,-18
425,-18
426,-18
427,-18
428,-18
429,-18
430,-18
431,-18
432,-18
433,-18
434,-18
435,-18
436,-18
437,-18
438,-18
439,-18
440,-18
441,-18
442,-18
443,-18
444,-18
445,-18
446,-18
447,-18
448,-18
449,-18
450,-18
451,-18
452,-18
453,-18
454,-18
455,-18
456,-18
457,-18
458,-18
459,-18
460,-18
461,-18
462,-18
463,-18
464,-18
465,-18
466,-18
467,-18
468,-18
469,-18
470,-18
471,-18
472,-18
473,-18
474,-18
475,-18
476,-18
477,-18
478,-18
479,-18
480,-18
481,-18
482,-18
483,-18
484,-18
485,-18
486,-18
487,-18
488,-18
489,-18
490,-18
491,-18
492,-18
493,-18
494,-18
495,-18
496,-18
497,-18
498,-18
499,-18
500,-18
501,-18
502,-18
503,-18
504,-18
505,-18
506,-18
507,-18
508,-18
509,-18
510,-18
511,-18
512,-18
513,-18
514,-18
515,-18
516,-18
517,-18
518,-18
519,-18
520,-18
521,-18
522,-18
523,-18
524,-18
525,-18
526,-18
527,-18
528,-18
529,-18
530,-18
531,-18
532,-18
533,-18
534,-18
535,-18
536,-18
537,-18
538,-18
539,-18
540,-18
541,-18
542,-18
543,-18
544,-18
545,-18
546,-18
547,-18
548,-18
549,-18
550,-18
551,-18
552,-18
553,-18
554,-18
555,-18
556,-18
557,-18
558,-18
559,-18
560,-18
561,-18
562,-18
563,-18
564,-18
565,-18
566,-18
567,-18
568,-18
569,-18
570,-18
571,-18
572,-18
573,-18
574,-18
575,-18
576,-18
577,-18
578,-18
579,-18
580,-18
581,-18
582,-18
583,-18
584,-18
585,-18
586,-18
587,-18
588,-18
589,-18
590,-18
591,-18
592,-18
593,-18
594,-18
595,-18
596,-18
597,-18
598,-18
599,-18
600,-18
601,-18
602,-18
603,-18
604,-18
605,-18
606,-18
607,-18
608,-18
609,-18
610,-18
611,-18
612,-18
613,-18
614,-18
615,-18
616,-18
617,-18
618,-18
619,-18
620,-18
621,-18
622,-18
623,-18
624,-18
625,-18
626,-18
627,-18
628,-18
629,-18
630,-18
631,-18
632,-18
633,-18
634,-18
635,-18
636,-18
637,-18
638,-18
639,-18
640,-18
641,-18
642,-18
643,-18
644,-18
645,-18
646,-18
647,-18
648,-18
649,-18
650,-18
651,-18
652,-18
653,-18
654,-18
655,-18
656,-18
657,-18
658,-18
659,-18
660,-18
661,-18
662,-18
663,-18
664,-18
665,-18
666,-18
667,-18
668,-18
669,-18
670,-18
671,-18
672,-18
673,-18
674,-18
675,-18
676,-18
677,-18
678,-18
679,-18
680,-18
681,-18
682,-18
683,-18
684,-18
685,-18
686,-18
687,-19
688,-19
689,-19
690,-19
691,-19
692,-19
693,-19
694,-19
695,-19
696,-19
697,-19
698,-19
699,-19
700,-19
701,-19
702,-19
703,-19
704,-19
705,-19
706,-19
707,-19
708,-19
709,-19
710,-19
711,-19
712,-19
713,-19
714,-19
715,-19
716,-19
717,-19
718,-19
719,-19
720,-19
721,-19
722,-19
723,-19
724,-19
725,-19
726,-19
727,-19
728,-19
729,-19
730,-19
731,-19
732,-19
733,-19
734,-19
735,-19
736,-19
737,-19
738,-19
739,-19
740,-19
741,-19
742,-19
743,-19
744,-19
745,-19
746,-19
747,-19
748,-19
749,-19
750,-19
751,-19
752,-19
753,-19
754,-19
755,-19
756,-19
757,-19
758,-19
759,-19
760,-19
761,-19
762,-19
763,-19
764,-19
765,-19
766,-19
767,-19
768,-19
769,-19
770,-19
771,-19
772,-19
773,-19
774,-19
775,-19
776,-19
777,-19
778,-19
779,-19
780,-19
781,-19
782,-19
783,-19
784,-19
785,-19
786,-19
787,-19
788,-19
789,-19
790,-19
791,-19
792,-19
793,-19
794,-19
795,-19
796,-19
797,-19
798,-19
799,-19
800,-19
801,-19
802,-19
803,-19
804,-19
805,-19
806,-19
807,-19
808,-19
809,-19
810,-19
811,-19
812,-19
813,-19
814,-19
815,-19
816,-19
817,-19
818,-19
819,-19
820,-19
821,-19
822,-19
823,-19
824,-19
825,-19
826,-19
827,-19
828,-19
829,-19
830,-19
831,-19
832,-19
833,-19
834,-19
835,-19
836,-19
837,-19
838,-19
