Experiment9: ,"Straight, 3d, sequence 8, it: 1000"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,-1
27,-1
28,-1
29,-1
30,-1
31,-1
32,-1
33,-1
34,-1
35,-1
36,-1
37,-1
38,-1
39,-1
40,-1
41,-1
42,-1
43,-1
44,-1
45,-2
46,-4
47,-4
48,-4
49,-5
50,-5
51,-5
52,-5
53,-5
54,-5
55,-6
56,-6
57,-6
58,-6
59,-6
60,-6
61,-6
62,-6
63,-6
64,-6
65,-7
66,-7
67,-7
68,-7
69,-8
70,-8
71,-8
72,-8
73,-8
74,-8
75,-8
76,-8
77,-8
78,-8
79,-8
80,-8
81,-8
82,-8
83,-8
84,-8
85,-9
86,-9
87,-9
88,-9
89,-9
90,-9
91,-9
92,-9
93,-9
94,-9
95,-9
96,-9
97,-9
98,-9
99,-9
100,-9
101,-9
102,-9
103,-9
104,-9
105,-9
106,-9
107,-9
108,-9
109,-9
110,-9
111,-9
112,-9
113,-9
114,-9
115,-10
116,-10
117,-10
118,-11
119,-11
120,-11
121,-11
122,-11
123,-11
124,-11
125,-11
126,-11
127,-11
128,-11
129,-11
130,-11
131,-11
132,-11
133,-11
134,-11
135,-11
136,-11
137,-11
138,-11
139,-11
140,-11
141,-11
142,-11
143,-11
144,-11
145,-11
146,-11
147,-11
148,-11
149,-11
150,-11
151,-15
152,-15
153,-15
154,-15
155,-15
156,-15
157,-15
158,-15
159,-15
160,-15
161,-15
162,-15
163,-15
164,-15
165,-15
166,-15
167,-15
168,-15
169,-15
170,-15
171,-15
172,-15
173,-15
174,-15
175,-15
176,-15
177,-15
178,-16
179,-16
180,-16
181,-16
182,-16
183,-16
184,-16
185,-16
186,-16
187,-16
188,-16
189,-16
190,-16
191,-16
192,-16
193,-16
194,-16
195,-16
196,-16
197,-16
198,-16
199,-16
200,-16
201,-16
202,-16
203,-16
204,-16
205,-16
206,-16
207,-16
208,-16
209,-16
210,-16
211,-16
212,-16
213,-16
214,-16
215,-16
216,-16
217,-16
218,-16
219,-16
220,-16
221,-16
222,-16
223,-16
224,-17
225,-17
226,-17
227,-17
228,-17
229,-17
230,-17
231,-17
232,-17
233,-17
234,-17
235,-17
236,-17
237,-17
238,-17
239,-17
240,-17
241,-17
242,-17
243,-17
244,-17
245,-17
246,-17
247,-18
248,-18
249,-18
250,-18
251,-18
252,-18
253,-18
254,-18
255,-18
256,-18
257,-18
258,-18
259,-18
260,-18
261,-18
262,-18
263,-18
264,-18
265,-18
266,-18
267,-18
268,-18
269,-18
270,-18
271,-18
272,-18
273,-18
274,-18
275,-19
276,-19
277,-19
278,-19
279,-19
280,-19
281,-19
282,-19
283,-19
284,-20
285,-20
286,-20
287,-20
288,-20
289,-20
290,-20
291,-20
292,-20
293,-21
294,-21
295,-21
296,-21
297,-21
298,-21
299,-21
300,-23
301,-23
302,-23
303,-23
304,-23
305,-23
306,-23
307,-23
308,-23
309,-23
310,-23
311,-23
312,-23
313,-23
314,-23
315,-23
316,-23
317,-23
318,-23
319,-23
320,-23
321,-23
322,-23
323,-23
324,-23
325,-23
326,-23
327,-23
328,-23
329,-23
330,-23
331,-23
332,-23
333,-23
334,-23
335,-23
336,-23
337,-23
338,-23
339,-23
340,-23
341,-23
342,-23
343,-23
344,-23
345,-23
346,-23
347,-23
348,-23
349,-23
350,-23
351,-23
352,-23
353,-23
354,-23
355,-23
356,-23
357,-23
358,-23
359,-23
360,-23
361,-23
362,-23
363,-23
364,-23
365,-23
366,-23
367,-23
368,-23
369,-23
370,-23
371,-23
372,-23
373,-23
374,-23
375,-23
376,-23
377,-23
378,-23
379,-23
380,-23
381,-23
382,-23
383,-23
384,-23
385,-23
386,-23
387,-23
388,-23
389,-23
390,-23
391,-23
392,-23
393,-23
394,-23
395,-23
396,-23
397,-23
398,-23
399,-23
400,-23
401,-23
402,-23
403,-23
404,-23
405,-23
406,-23
407,-23
408,-23
409,-23
410,-23
411,-23
412,-23
413,-23
414,-23
415,-23
416,-23
417,-23
418,-23
419,-23
420,-23
421,-23
422,-23
423,-23
424,-23
425,-23
