Experiment2,Test
0,-5
4,-6
10,-6
11,-6
24,-6
30,-6
32,-6
33,-6
49,-6
60,-6
65,-6
77,-6
84,-6
112,-6
118,-6
119,-6
120,-6
121,-6
123,-6
125,-6
137,-6
143,-6
147,-6
161,-6
165,-6
187,-6
192,-6
207,-6
225,-6
232,-6
243,-6
244,-6
259,-6
262,-6
268,-6
274,-6
282,-6
291,-6
294,-6
296,-6
298,-6
300,-6
301,-6
308,-6
318,-6
324,-6
344,-6
354,-6
360,-6
374,-6
379,-6
386,-6
393,-6
394,-6
396,-6
399,-6
404,-6
409,-6
428,-6
437,-6
439,-6
443,-6
450,-6
451,-6
456,-6
470,-6
473,-6
474,-6
478,-6
490,-6
496,-6
