iterations,mean
0,-9
1,-9,8
2,-10,8
3,-11,2
4,-12,2
5,-13,2
6,-13,2
7,-13,2
8,-13,4
9,-13,6
10,-13,6
11,-14
12,-14
13,-14
14,-14,2
15,-14,2
16,-14,2
17,-14,4
18,-14,6
19,-15
20,-15,6
21,-15,6
22,-15,6
23,-15,6
24,-15,8
25,-15,8
26,-15,8
27,-15,8
28,-16
29,-16
30,-16
31,-16
32,-16
33,-16,4
34,-16,4
35,-16,4
36,-16,4
37,-16,6
38,-16,8
39,-16,8
40,-16,8
41,-16,8
42,-17,4
43,-17,4
44,-17,4
45,-17,4
46,-17,4
47,-17,4
48,-17,4
49,-17,4
50,-17,4
51,-17,4
52,-17,4
53,-17,4
54,-17,4
55,-17,4
56,-17,6
57,-17,8
58,-18
59,-18
60,-18
61,-18
62,-18
63,-18
64,-18
65,-18
66,-18
67,-18
68,-18
69,-18
70,-18
71,-18
72,-18
73,-18
74,-18
75,-19,2
76,-19,2
77,-19,2
78,-19,2
79,-19,2
80,-19,2
81,-19,2
82,-19,2
83,-19,2
84,-19,2
85,-19,2
86,-19,2
87,-19,2
88,-19,2
89,-19,2
90,-19,4
91,-19,4
92,-19,4
93,-19,4
94,-19,4
95,-19,4
96,-19,4
97,-19,4
98,-19,4
99,-19,4
100,-19,6
101,-19,6
102,-19,6
103,-19,6
104,-19,6
105,-19,6
106,-19,6
107,-19,6
108,-19,6
109,-19,6
110,-19,6
111,-19,6
112,-19,6
113,-19,6
114,-19,6
115,-19,6
116,-19,6
117,-19,6
118,-19,6
119,-19,6
120,-19,6
121,-19,6
122,-19,6
123,-19,6
124,-20,2
125,-20,2
126,-20,2
127,-20,2
128,-20,2
129,-20,2
130,-20,2
131,-20,2
132,-20,8
133,-20,8
134,-20,8
135,-20,8
136,-20,8
137,-20,8
138,-20,8
139,-20,8
140,-20,8
141,-20,8
142,-20,8
143,-21
144,-21,4
145,-21,4
146,-21,4
147,-21,4
148,-21,4
149,-21,4
150,-21,4
151,-21,4
152,-21,4
153,-21,4
154,-21,4
155,-21,4
156,-21,4
157,-21,4
158,-21,4
159,-21,4
160,-21,4
161,-21,4
162,-21,4
163,-21,4
164,-21,4
165,-21,4
166,-21,4
167,-21,4
168,-21,4
169,-21,4
170,-21,4
171,-21,4
172,-21,4
173,-21,4
174,-21,4
175,-21,4
176,-21,4
177,-21,4
178,-21,4
179,-21,4
180,-21,4
181,-21,4
182,-21,4
183,-21,4
184,-21,4
185,-21,4
186,-21,4
187,-21,4
188,-21,4
189,-21,4
190,-21,4
191,-21,4
192,-21,4
193,-21,4
194,-21,4
195,-21,4
196,-21,4
197,-21,4
198,-21,4
199,-21,4
200,-21,4
201,-21,4
202,-21,4
203,-21,4
204,-21,4
205,-21,4
206,-21,4
207,-21,4
208,-21,4
209,-21,4
210,-21,4
211,-21,4
212,-21,4
213,-21,4
214,-21,4
215,-21,4
216,-21,4
217,-21,4
218,-21,4
219,-21,4
220,-21,6
221,-21,6
222,-21,6
223,-21,6
224,-21,6
225,-21,6
226,-21,6
227,-21,6
228,-21,6
229,-21,6
230,-21,6
231,-21,6
232,-21,6
233,-21,6
234,-21,6
235,-21,6
236,-21,6
237,-21,6
238,-21,6
239,-21,6
240,-21,6
241,-21,6
242,-21,6
243,-21,6
244,-21,6
245,-21,6
246,-21,6
247,-21,6
248,-21,6
249,-21,6
250,-21,6
251,-21,6
252,-21,6
253,-21,6
254,-21,6
255,-21,6
256,-21,6
257,-21,6
258,-21,6
259,-21,6
260,-21,6
261,-21,6
262,-21,6
263,-21,6
264,-21,6
265,-21,6
266,-21,6
267,-21,6
268,-21,6
269,-21,6
270,-21,8
271,-21,8
272,-21,8
273,-21,8
274,-21,8
275,-21,8
276,-21,8
277,-21,8
278,-21,8
279,-21,8
280,-21,8
281,-21,8
282,-21,8
283,-21,8
284,-21,8
285,-21,8
286,-21,8
287,-21,8
288,-22
289,-22
290,-22
291,-22,2
292,-22,2
293,-22,2
294,-22,2
295,-22,8
296,-22,8
297,-23
298,-23
299,-23
300,-23
301,-23
302,-23
303,-23
304,-23
305,-23
306,-23
307,-23
308,-23
309,-23
310,-23
311,-23
312,-23
313,-23
314,-23
315,-23
316,-23
317,-23
318,-23
319,-23
320,-23
321,-23
322,-23
323,-23
324,-23
325,-23
326,-23
327,-23
328,-23
329,-23
330,-23,2
331,-23,2
332,-23,2
333,-23,2
334,-23,2
335,-23,2
336,-23,2
337,-23,2
338,-23,2
339,-23,2
340,-23,2
341,-23,2
342,-23,2
343,-23,2
344,-23,2
345,-23,2
346,-23,2
347,-23,2
348,-23,2
349,-23,2
350,-23,2
351,-23,2
352,-23,6
353,-23,6
354,-23,6
355,-23,6
356,-23,6
357,-23,6
358,-23,6
359,-23,6
360,-23,6
361,-23,6
362,-23,6
363,-23,6
364,-23,6
365,-23,6
366,-23,6
367,-23,6
368,-23,6
369,-23,6
370,-23,6
371,-23,6
372,-23,6
373,-23,6
374,-23,6
375,-23,6
376,-23,6
377,-23,6
378,-23,6
379,-23,6
380,-23,6
381,-23,6
382,-23,6
383,-23,6
384,-23,6
385,-23,6
386,-23,6
387,-23,6
388,-23,6
389,-23,6
390,-23,6
391,-23,6
392,-23,6
393,-23,6
394,-23,6
395,-23,6
396,-23,6
397,-23,6
398,-23,6
399,-23,6
400,-23,6
401,-23,6
402,-23,6
403,-23,6
404,-23,6
405,-23,6
406,-23,6
407,-23,6
408,-23,6
409,-23,6
410,-23,6
411,-23,6
412,-23,6
413,-23,6
414,-23,6
415,-23,6
416,-23,6
417,-23,8
418,-23,8
419,-23,8
420,-23,8
421,-23,8
422,-23,8
423,-23,8
424,-23,8
425,-23,8
426,-23,8
427,-23,8
428,-23,8
429,-23,8
430,-23,8
431,-23,8
432,-23,8
433,-23,8
434,-23,8
435,-23,8
436,-23,8
437,-23,8
438,-23,8
439,-23,8
440,-23,8
441,-23,8
442,-23,8
443,-23,8
444,-23,8
445,-23,8
446,-23,8
447,-23,8
448,-23,8
449,-23,8
450,-23,8
451,-23,8
452,-23,8
453,-23,8
454,-23,8
455,-23,8
456,-23,8
457,-23,8
458,-23,8
459,-23,8
460,-23,8
461,-23,8
462,-23,8
463,-23,8
464,-23,8
465,-23,8
466,-23,8
467,-23,8
468,-23,8
469,-23,8
470,-23,8
471,-23,8
472,-23,8
473,-23,8
474,-23,8
