Experiment5: ,"Straight, 3d, sequence 4, it: 1000"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,-2
11,-2
12,-2
13,-2
14,-2
15,-2
16,-2
17,-3
18,-3
19,-3
20,-3
21,-3
22,-3
23,-3
24,-3
25,-3
26,-3
27,-3
28,-3
29,-3
30,-3
31,-3
32,-3
33,-3
34,-3
35,-3
36,-3
37,-3
38,-3
39,-3
40,-3
41,-3
42,-3
43,-3
44,-3
45,-3
46,-3
47,-3
48,-3
49,-3
50,-3
51,-3
52,-3
53,-3
54,-3
55,-3
56,-3
57,-3
58,-3
59,-3
60,-3
61,-3
62,-3
63,-4
64,-4
65,-4
66,-4
67,-4
68,-5
69,-5
70,-5
71,-5
72,-5
73,-5
74,-5
75,-5
76,-6
77,-6
78,-6
79,-6
80,-6
81,-6
82,-6
83,-6
84,-6
85,-6
86,-6
87,-6
88,-6
89,-6
90,-6
91,-6
92,-6
93,-6
94,-6
95,-7
96,-7
97,-7
98,-7
99,-7
100,-7
101,-7
102,-7
103,-7
104,-7
105,-7
106,-7
107,-7
108,-7
109,-7
110,-7
111,-7
112,-7
113,-7
114,-7
115,-8
116,-8
117,-8
118,-8
119,-8
120,-8
121,-9
122,-9
123,-9
124,-9
125,-9
126,-9
127,-9
128,-9
129,-9
130,-9
131,-9
132,-9
133,-9
134,-9
135,-9
136,-9
137,-9
138,-9
139,-9
140,-9
141,-9
142,-9
143,-9
144,-9
145,-9
146,-9
147,-9
148,-9
149,-9
150,-9
151,-9
152,-9
153,-9
154,-9
155,-9
156,-9
157,-9
158,-9
159,-9
160,-9
161,-9
162,-9
163,-9
164,-9
165,-9
166,-9
167,-9
168,-9
169,-9
170,-9
171,-9
172,-9
173,-9
174,-9
175,-9
176,-9
177,-9
178,-9
179,-9
180,-9
181,-9
182,-9
183,-9
184,-9
185,-9
186,-9
187,-9
188,-9
189,-9
190,-9
191,-9
192,-9
193,-9
194,-11
195,-11
196,-11
197,-11
198,-11
199,-11
200,-11
201,-11
202,-11
203,-11
204,-11
205,-11
206,-11
207,-11
208,-11
209,-11
210,-11
211,-11
212,-11
213,-12
214,-12
215,-12
216,-12
217,-12
218,-12
219,-12
220,-12
221,-12
222,-12
223,-12
224,-12
225,-12
226,-12
227,-12
228,-12
229,-12
230,-12
231,-12
232,-12
233,-12
234,-12
235,-12
236,-12
237,-12
238,-12
239,-12
240,-12
241,-12
242,-12
243,-12
244,-12
245,-12
246,-12
247,-12
248,-12
249,-12
250,-12
251,-12
252,-12
253,-12
254,-12
255,-12
256,-12
257,-12
258,-12
259,-12
260,-12
261,-12
262,-12
263,-12
264,-12
265,-12
266,-12
267,-12
268,-12
269,-12
270,-12
271,-12
272,-12
273,-12
274,-12
275,-12
276,-12
277,-12
278,-12
279,-12
280,-12
281,-12
282,-12
283,-12
284,-12
285,-12
286,-12
287,-12
288,-12
289,-12
290,-12
291,-12
292,-12
293,-12
294,-12
295,-12
296,-12
297,-12
298,-12
299,-12
300,-12
301,-12
302,-12
303,-12
304,-12
305,-12
306,-12
307,-12
308,-12
309,-12
310,-12
311,-12
312,-12
313,-12
314,-12
315,-12
316,-12
317,-12
318,-12
319,-12
320,-12
321,-12
322,-12
323,-12
324,-12
325,-12
326,-12
327,-12
328,-12
329,-12
330,-12
331,-12
332,-12
333,-12
334,-12
335,-12
336,-12
337,-12
338,-12
339,-12
340,-12
341,-12
342,-12
343,-12
344,-12
345,-12
346,-12
347,-12
348,-12
349,-12
350,-12
351,-12
352,-12
353,-12
354,-12
355,-12
356,-12
357,-12
358,-12
359,-12
360,-12
361,-12
362,-12
363,-12
364,-12
365,-12
366,-12
367,-12
368,-12
369,-12
370,-12
371,-12
372,-12
373,-12
374,-12
375,-12
376,-12
377,-12
378,-12
379,-12
380,-12
381,-12
382,-12
383,-12
384,-12
385,-12
386,-12
387,-12
388,-12
389,-12
390,-12
391,-12
392,-12
393,-12
394,-12
395,-12
396,-12
397,-12
398,-12
399,-12
400,-12
401,-12
402,-12
403,-12
404,-12
405,-12
406,-12
407,-12
408,-12
409,-12
410,-12
411,-12
412,-12
413,-12
414,-12
415,-12
416,-12
417,-12
418,-12
419,-12
420,-12
421,-12
422,-12
