Experiment7: ,"Random, 3d, sequence 4, it: 1000"
0,-6
1,-6
2,-6
3,-6
4,-6
5,-6
6,-6
7,-7
8,-7
9,-7
10,-7
11,-7
12,-7
13,-7
14,-7
15,-7
16,-8
17,-8
18,-8
19,-8
20,-8
21,-8
22,-8
23,-8
24,-8
25,-8
26,-8
27,-8
28,-8
29,-8
30,-8
31,-8
32,-8
33,-8
34,-8
35,-8
36,-8
37,-8
38,-9
39,-9
40,-9
41,-9
42,-9
43,-9
44,-9
45,-9
46,-9
47,-9
48,-9
49,-9
50,-9
51,-10
52,-10
53,-10
54,-10
55,-10
56,-10
57,-10
58,-10
59,-10
60,-10
61,-10
62,-10
63,-10
64,-10
65,-10
66,-10
67,-10
68,-10
69,-10
70,-10
71,-10
72,-13
73,-13
74,-13
75,-13
76,-13
77,-13
78,-13
79,-13
80,-13
81,-13
82,-13
83,-13
84,-13
85,-13
86,-13
87,-13
88,-13
89,-13
90,-13
91,-13
92,-13
93,-13
94,-13
95,-13
96,-13
97,-13
98,-13
99,-13
100,-13
101,-13
102,-13
103,-13
104,-13
105,-13
106,-13
107,-13
108,-13
109,-13
110,-13
111,-13
112,-13
113,-13
114,-13
115,-13
116,-13
117,-13
118,-13
119,-13
120,-13
121,-13
122,-13
123,-13
124,-13
125,-13
126,-13
127,-13
128,-13
129,-13
130,-13
131,-13
132,-13
133,-13
134,-13
135,-13
136,-13
137,-13
138,-13
139,-13
140,-13
141,-13
142,-13
143,-13
144,-13
145,-13
146,-13
147,-13
148,-13
149,-13
150,-13
151,-13
152,-13
153,-13
154,-13
155,-13
156,-13
157,-13
158,-13
159,-13
160,-13
161,-13
162,-13
163,-13
164,-13
165,-13
166,-13
167,-13
168,-13
169,-13
170,-13
171,-13
172,-13
173,-13
174,-13
175,-13
176,-13
177,-13
178,-13
179,-13
180,-13
181,-13
182,-13
183,-13
184,-13
185,-13
186,-13
187,-13
188,-13
189,-14
190,-14
191,-14
192,-14
193,-14
194,-14
195,-14
196,-14
197,-14
198,-14
199,-14
200,-14
201,-14
202,-14
203,-14
204,-14
205,-14
206,-14
207,-14
208,-15
209,-15
210,-15
211,-15
212,-15
213,-15
214,-15
215,-15
216,-15
217,-15
218,-15
219,-15
220,-15
221,-15
222,-15
223,-15
224,-15
225,-15
226,-15
227,-15
228,-15
229,-15
230,-15
231,-15
232,-15
233,-15
234,-15
235,-15
236,-15
237,-15
238,-15
239,-15
240,-15
241,-15
242,-15
243,-15
244,-15
245,-15
246,-15
247,-15
248,-15
249,-15
250,-15
251,-15
252,-15
253,-15
254,-15
255,-15
256,-15
257,-15
258,-15
259,-15
260,-15
261,-15
262,-15
263,-15
264,-15
265,-15
266,-15
267,-15
268,-15
269,-15
270,-15
271,-15
272,-15
273,-15
274,-15
275,-15
276,-15
277,-15
278,-15
279,-15
280,-16
281,-16
282,-16
283,-16
284,-16
285,-16
286,-16
287,-16
288,-16
289,-16
290,-16
291,-16
292,-16
293,-16
294,-16
295,-16
296,-16
297,-16
298,-16
299,-16
300,-16
301,-16
302,-16
303,-16
304,-16
305,-16
306,-16
307,-16
308,-16
309,-16
310,-16
311,-16
312,-16
313,-16
314,-16
315,-16
316,-16
317,-16
318,-16
319,-16
320,-16
321,-16
322,-16
323,-16
324,-16
325,-16
326,-16
327,-16
328,-16
329,-16
330,-16
331,-17
332,-17
333,-17
334,-17
335,-17
336,-17
337,-17
338,-17
339,-17
340,-17
341,-17
342,-17
343,-17
344,-17
345,-17
346,-17
347,-17
348,-17
349,-17
350,-17
351,-17
352,-17
353,-17
354,-17
355,-17
356,-17
357,-17
358,-17
359,-17
360,-17
361,-17
362,-17
363,-17
364,-17
365,-17
366,-17
367,-17
368,-17
369,-17
370,-17
371,-17
372,-17
373,-17
374,-17
375,-17
376,-17
377,-17
378,-17
379,-17
380,-17
381,-17
382,-17
383,-17
384,-17
385,-17
386,-17
387,-17
388,-17
389,-17
390,-17
391,-17
392,-17
393,-17
394,-17
395,-17
396,-17
397,-17
398,-17
399,-17
400,-17
401,-17
402,-17
403,-17
404,-17
405,-17
406,-17
407,-17
408,-17
409,-17
410,-17
411,-17
412,-17
413,-17
414,-17
415,-17
416,-17
417,-17
418,-17
419,-17
420,-17
421,-17
422,-17
423,-17
424,-17
425,-17
426,-17
427,-17
428,-17
429,-17
430,-17
431,-17
432,-17
433,-17
434,-17
435,-17
436,-17
437,-17
438,-17
439,-17
440,-17
441,-17
442,-17
443,-17
444,-17
445,-17
446,-17
447,-17
448,-17
449,-17
450,-17
451,-17
452,-17
453,-17
454,-17
455,-17
456,-17
457,-17
458,-17
459,-17
460,-17
461,-17
462,-17
463,-17
464,-17
465,-17
466,-17
467,-17
468,-17
469,-17
470,-17
471,-17
472,-17
473,-17
474,-17
475,-17
476,-17
477,-17
478,-17
479,-17
480,-17
481,-17
482,-17
483,-17
484,-17
485,-17
486,-17
487,-17
488,-17
489,-17
490,-17
491,-17
492,-17
493,-17
494,-17
495,-17
496,-17
497,-17
498,-17
499,-17
500,-17
501,-17
502,-17
503,-17
504,-17
505,-17
506,-17
507,-17
508,-17
509,-17
510,-17
511,-17
512,-17
513,-17
514,-17
515,-17
516,-17
517,-17
518,-17
519,-17
520,-17
521,-17
522,-17
523,-17
524,-17
525,-17
526,-17
527,-17
528,-17
529,-17
530,-17
531,-17
532,-17
533,-17
534,-17
535,-17
536,-17
537,-17
538,-17
539,-17
540,-17
