Experiment5: ,"Straight, 3d, sequence 4, it: 1000"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,-1
37,-1
38,-1
39,-1
40,-1
41,-1
42,-1
43,-1
44,-1
45,-2
46,-2
47,-2
48,-2
49,-2
50,-2
51,-2
52,-2
53,-2
54,-2
55,-2
56,-4
57,-4
58,-5
59,-5
60,-5
61,-5
62,-5
63,-6
64,-6
65,-6
66,-6
67,-6
68,-6
69,-6
70,-6
71,-6
72,-6
73,-6
74,-6
75,-6
76,-6
77,-6
78,-6
79,-6
80,-6
81,-6
82,-6
83,-6
84,-6
85,-6
86,-7
87,-7
88,-7
89,-7
90,-7
91,-7
92,-7
93,-8
94,-8
95,-8
96,-8
97,-8
98,-8
99,-8
100,-8
101,-8
102,-8
103,-8
104,-8
105,-8
106,-8
107,-8
108,-8
109,-8
110,-8
111,-8
112,-8
113,-8
114,-8
115,-8
116,-8
117,-8
118,-8
119,-8
120,-8
121,-8
122,-9
123,-9
124,-9
125,-10
126,-10
127,-10
128,-10
129,-10
130,-10
131,-10
132,-10
133,-10
134,-10
135,-10
136,-10
137,-10
138,-10
139,-10
140,-10
141,-10
142,-10
143,-10
144,-10
145,-10
146,-10
147,-10
148,-10
149,-10
150,-10
151,-10
152,-10
153,-10
154,-10
155,-10
156,-10
157,-10
158,-10
159,-10
160,-10
161,-10
162,-10
163,-10
164,-10
165,-10
166,-10
167,-10
168,-10
169,-10
170,-10
171,-10
172,-10
173,-10
174,-10
175,-11
176,-11
177,-11
178,-11
179,-11
180,-11
181,-11
182,-11
183,-11
184,-11
185,-11
186,-11
187,-11
188,-11
189,-11
190,-11
191,-11
192,-11
193,-11
194,-11
195,-11
196,-11
197,-11
198,-11
199,-11
200,-11
201,-11
202,-11
203,-11
204,-11
205,-11
206,-11
207,-11
208,-11
209,-11
210,-11
211,-11
212,-11
213,-11
214,-11
215,-11
216,-11
217,-11
218,-11
219,-11
220,-11
221,-11
222,-11
223,-11
224,-11
225,-11
226,-11
227,-11
228,-11
229,-11
230,-11
231,-11
232,-11
233,-11
234,-11
235,-11
236,-11
237,-11
238,-11
239,-11
240,-11
241,-11
242,-11
243,-11
244,-11
245,-11
246,-11
247,-11
248,-11
249,-11
250,-11
251,-12
252,-12
253,-12
254,-12
255,-12
256,-12
257,-12
258,-13
259,-13
260,-13
261,-13
262,-13
263,-13
264,-13
265,-13
266,-13
267,-13
268,-13
269,-14
270,-14
271,-14
272,-14
273,-14
274,-14
275,-14
276,-14
277,-14
278,-14
279,-14
280,-14
281,-14
282,-14
283,-16
284,-16
285,-16
286,-16
287,-16
288,-16
289,-16
290,-16
291,-16
292,-16
293,-16
294,-16
295,-16
296,-16
297,-16
298,-16
299,-16
300,-16
301,-16
302,-16
303,-16
304,-16
305,-16
306,-16
307,-16
308,-16
309,-16
310,-16
311,-16
312,-16
313,-16
314,-16
315,-16
316,-16
317,-16
318,-16
319,-16
320,-16
321,-16
322,-16
323,-16
324,-16
325,-16
326,-16
327,-16
328,-16
329,-17
330,-17
331,-17
332,-17
333,-17
334,-17
335,-17
336,-17
337,-17
338,-17
339,-17
340,-17
341,-17
342,-17
343,-17
344,-17
345,-17
346,-17
347,-17
348,-17
349,-17
350,-17
351,-17
352,-17
353,-17
354,-17
355,-17
356,-17
357,-17
358,-17
359,-17
360,-17
361,-17
362,-17
363,-17
364,-17
365,-17
366,-17
367,-17
368,-17
369,-17
370,-17
371,-17
372,-17
373,-17
374,-17
375,-17
376,-17
377,-17
378,-17
379,-17
380,-17
381,-17
382,-17
383,-17
384,-17
385,-17
386,-17
387,-17
388,-17
389,-17
390,-17
391,-17
392,-17
393,-17
394,-17
395,-17
396,-17
397,-17
398,-17
399,-17
400,-17
401,-17
402,-17
403,-17
404,-17
405,-17
406,-17
407,-17
408,-17
409,-17
410,-17
411,-17
412,-17
413,-17
414,-17
415,-17
416,-17
417,-17
418,-17
419,-17
420,-17
421,-17
422,-17
423,-17
424,-17
425,-17
426,-17
427,-17
