Experiment9: ,"Straight, 3d, sequence 8, it: 1000"
0,0
1,0
2,0
3,0
4,0
5,0
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
30,-1
31,-1
32,-1
33,-1
34,-1
35,-1
36,-1
37,-1
38,-1
39,-1
40,-1
41,-1
42,-1
43,-1
44,-3
45,-3
46,-3
47,-4
48,-4
49,-4
50,-4
51,-4
52,-4
53,-4
54,-4
55,-4
56,-4
57,-4
58,-4
59,-4
60,-5
61,-5
62,-5
63,-5
64,-5
65,-5
66,-5
67,-5
68,-5
69,-5
70,-5
71,-5
72,-5
73,-5
74,-5
75,-5
76,-5
77,-6
78,-6
79,-6
80,-6
81,-6
82,-7
83,-7
84,-7
85,-7
86,-7
87,-7
88,-7
89,-7
90,-8
91,-8
92,-8
93,-8
94,-9
95,-9
96,-9
97,-9
98,-9
99,-9
100,-9
101,-9
102,-9
103,-9
104,-9
105,-9
106,-9
107,-9
108,-9
109,-9
110,-9
111,-9
112,-9
113,-9
114,-9
115,-9
116,-9
117,-9
118,-9
119,-9
120,-9
121,-9
122,-9
123,-9
124,-9
125,-9
126,-9
127,-9
128,-9
129,-9
130,-10
131,-10
132,-10
133,-10
134,-10
135,-11
136,-11
137,-13
138,-13
139,-13
140,-13
141,-13
142,-13
143,-13
144,-13
145,-13
146,-13
147,-13
148,-13
149,-13
150,-13
151,-13
152,-13
153,-13
154,-13
155,-13
156,-13
157,-13
158,-13
159,-13
160,-13
161,-13
162,-13
163,-13
164,-13
165,-14
166,-14
167,-14
168,-14
169,-14
170,-14
171,-14
172,-14
173,-14
174,-14
175,-14
176,-15
177,-15
178,-15
179,-15
180,-15
181,-15
182,-15
183,-15
184,-15
185,-15
186,-15
187,-15
188,-15
189,-15
190,-15
191,-15
192,-15
193,-15
194,-15
195,-15
196,-15
197,-16
198,-16
199,-16
200,-16
201,-16
202,-17
203,-17
204,-17
205,-17
206,-17
207,-17
208,-17
209,-17
210,-17
211,-17
212,-17
213,-17
214,-17
215,-17
216,-17
217,-17
218,-17
219,-17
220,-17
221,-17
222,-17
223,-17
224,-17
225,-17
226,-17
227,-17
228,-17
229,-17
230,-17
231,-17
232,-17
233,-17
234,-17
235,-17
236,-17
237,-17
238,-17
239,-17
240,-17
241,-17
242,-17
243,-17
244,-17
245,-17
246,-17
247,-17
248,-17
249,-17
250,-17
251,-17
252,-17
253,-17
254,-17
255,-17
256,-17
257,-17
258,-17
259,-17
260,-17
261,-17
262,-17
263,-17
264,-17
265,-17
266,-17
267,-17
268,-17
269,-17
270,-17
271,-17
272,-17
273,-17
274,-17
275,-17
276,-17
277,-17
278,-17
279,-17
280,-17
281,-17
282,-17
283,-17
284,-17
285,-17
286,-17
287,-17
288,-17
289,-17
290,-17
291,-17
292,-17
293,-17
294,-17
295,-17
296,-17
297,-17
298,-17
299,-17
300,-17
301,-17
302,-17
303,-17
304,-17
305,-17
306,-17
307,-17
308,-17
309,-17
310,-17
311,-17
312,-17
313,-17
314,-17
315,-17
316,-17
317,-17
318,-17
319,-17
320,-17
321,-17
322,-17
323,-21
324,-21
325,-21
326,-21
327,-21
328,-21
329,-21
330,-21
331,-21
332,-21
333,-21
334,-21
335,-21
336,-21
337,-21
338,-21
339,-21
340,-21
341,-21
342,-21
343,-21
344,-21
345,-21
346,-21
347,-21
348,-21
349,-21
350,-21
351,-21
352,-21
353,-21
354,-21
355,-21
356,-21
357,-21
358,-21
359,-21
360,-21
361,-21
362,-21
363,-21
364,-21
365,-21
366,-21
367,-21
368,-21
369,-21
370,-21
371,-21
372,-21
373,-21
374,-21
375,-21
376,-21
377,-21
378,-21
379,-21
380,-21
381,-21
382,-21
383,-21
384,-21
385,-21
386,-21
387,-21
388,-21
389,-21
390,-21
391,-21
392,-21
393,-21
394,-21
395,-21
396,-21
397,-21
398,-21
399,-21
400,-21
401,-21
402,-21
403,-21
404,-21
405,-21
406,-21
407,-21
408,-21
409,-21
410,-21
411,-21
412,-21
413,-21
414,-21
415,-21
416,-21
417,-21
418,-21
419,-21
420,-21
421,-21
