Experiment12: ,"Random, 3d, sequence 7, it: 1000"
0,-9
1,-9
2,-9
3,-9
4,-11
5,-11
6,-11
7,-11
8,-11
9,-11
10,-11
11,-11
12,-11
13,-11
14,-12
15,-13
16,-14
17,-14
18,-14
19,-14
20,-14
21,-14
22,-14
23,-14
24,-14
25,-14
26,-14
27,-14
28,-14
29,-14
30,-14
31,-14
32,-14
33,-14
34,-14
35,-14
36,-15
37,-15
38,-15
39,-15
40,-15
41,-16
42,-16
43,-16
44,-16
45,-16
46,-16
47,-16
48,-16
49,-16
50,-16
51,-16
52,-16
53,-16
54,-16
55,-16
56,-16
57,-16
58,-16
59,-16
60,-16
61,-16
62,-16
63,-16
64,-16
65,-16
66,-16
67,-16
68,-16
69,-16
70,-16
71,-16
72,-16
73,-17
74,-17
75,-17
76,-17
77,-17
78,-17
79,-17
80,-17
81,-17
82,-17
83,-17
84,-17
85,-17
86,-17
87,-17
88,-17
89,-17
90,-17
91,-17
92,-17
93,-17
94,-17
95,-17
96,-17
97,-17
98,-17
99,-17
100,-17
101,-17
102,-17
103,-17
104,-17
105,-17
106,-17
107,-17
108,-17
109,-17
110,-17
111,-17
112,-17
113,-17
114,-17
115,-17
116,-17
117,-17
118,-17
119,-17
120,-17
121,-17
122,-17
123,-17
124,-18
125,-18
126,-18
127,-18
128,-18
129,-18
130,-18
131,-18
132,-18
133,-18
134,-18
135,-18
136,-18
137,-18
138,-18
139,-18
140,-18
141,-18
142,-18
143,-18
144,-18
145,-18
146,-18
147,-18
148,-18
149,-18
150,-18
151,-18
152,-18
153,-18
154,-18
155,-18
156,-18
157,-18
158,-18
159,-18
160,-18
161,-18
162,-18
163,-18
164,-18
165,-18
166,-18
167,-18
168,-18
169,-18
170,-18
171,-18
172,-18
173,-18
174,-18
175,-18
176,-18
177,-18
178,-18
179,-18
180,-18
181,-18
182,-18
183,-18
184,-18
185,-18
186,-18
187,-18
188,-18
189,-18
190,-18
191,-18
192,-18
193,-18
194,-18
195,-18
196,-18
197,-18
198,-18
199,-18
200,-18
201,-18
202,-18
203,-18
204,-18
205,-18
206,-18
207,-18
208,-18
209,-18
210,-18
211,-18
212,-18
213,-18
214,-18
215,-23
216,-23
217,-23
218,-23
219,-23
220,-23
221,-23
222,-23
223,-23
224,-23
225,-23
226,-23
227,-23
