iterations,mean
0,0
1,0
2,0
3,-0,2
4,-0,2
5,-0,8
6,-0,8
7,-1
8,-1,6
9,-1,6
10,-1,8
11,-2
12,-2
13,-2
14,-2,2
15,-2,2
16,-2,4
17,-2,4
18,-2,6
19,-2,6
20,-2,6
21,-2,8
22,-3
23,-3,2
24,-3,2
25,-3,2
26,-3,2
27,-3,4
28,-3,4
29,-3,4
30,-3,4
31,-3,6
32,-4
33,-4
34,-4
35,-4
36,-4
37,-4
38,-4
39,-4
40,-4
41,-4
42,-4
43,-4
44,-4
45,-4
46,-4,2
47,-4,2
48,-4,2
49,-4,2
50,-4,2
51,-4,2
52,-4,4
53,-4,4
54,-4,4
55,-4,4
56,-4,4
57,-4,4
58,-4,4
59,-4,4
60,-4,6
61,-4,6
62,-4,6
63,-4,8
64,-4,8
65,-4,8
66,-4,8
67,-4,8
68,-4,8
69,-4,8
70,-4,8
71,-4,8
72,-4,8
73,-4,8
74,-4,8
75,-4,8
76,-4,8
77,-4,8
78,-4,8
79,-4,8
80,-4,8
81,-4,8
82,-4,8
83,-4,8
84,-4,8
85,-4,8
86,-4,8
87,-4,8
88,-4,8
89,-4,8
90,-4,8
91,-4,8
92,-4,8
93,-4,8
94,-4,8
95,-4,8
96,-4,8
97,-4,8
98,-5
99,-5
100,-5
101,-5
102,-5
103,-5
104,-5
105,-5
106,-5,2
107,-5,2
108,-5,2
109,-5,2
110,-5,2
111,-5,2
112,-5,2
113,-5,2
114,-5,2
115,-5,2
116,-5,2
117,-5,2
118,-5,2
119,-5,2
120,-5,2
121,-5,2
122,-5,2
123,-5,2
124,-5,2
125,-5,2
126,-5,2
127,-5,2
128,-5,2
129,-5,2
130,-5,2
131,-5,2
132,-5,2
133,-5,2
134,-5,2
135,-5,2
136,-5,2
137,-5,2
138,-5,2
139,-5,2
140,-5,2
141,-5,2
142,-5,2
143,-5,2
144,-5,2
145,-5,2
146,-5,2
147,-5,2
148,-5,2
149,-5,2
150,-5,2
151,-5,2
152,-5,2
153,-5,2
154,-5,2
155,-5,2
156,-5,2
157,-5,2
158,-5,2
159,-5,2
160,-5,2
161,-5,2
162,-5,2
163,-5,2
164,-5,2
165,-5,2
166,-5,2
167,-5,2
168,-5,2
169,-5,2
170,-5,2
171,-5,2
172,-5,2
173,-5,2
174,-5,2
175,-5,2
176,-5,2
177,-5,2
178,-5,2
179,-5,2
180,-5,2
181,-5,2
182,-5,2
183,-5,2
184,-5,2
185,-5,2
186,-5,2
187,-5,2
188,-5,2
189,-5,2
190,-5,2
191,-5,2
192,-5,2
193,-5,2
194,-5,2
195,-5,2
196,-5,2
197,-5,2
198,-5,2
199,-5,2
200,-5,2
201,-5,2
202,-5,2
203,-5,2
204,-5,2
205,-5,2
206,-5,2
207,-5,2
208,-5,2
209,-5,2
210,-5,2
211,-5,2
212,-5,2
213,-5,2
214,-5,2
215,-5,2
216,-5,2
217,-5,2
218,-5,2
219,-5,2
220,-5,2
221,-5,2
222,-5,2
223,-5,2
224,-5,2
225,-5,2
226,-5,2
227,-5,2
228,-5,2
229,-5,2
230,-5,2
231,-5,2
232,-5,2
233,-5,2
234,-5,2
235,-5,2
236,-5,2
237,-5,2
238,-5,2
239,-5,2
240,-5,2
241,-5,2
242,-5,2
243,-5,2
244,-5,2
245,-5,2
246,-5,2
247,-5,2
248,-5,2
249,-5,2
250,-5,2
251,-5,2
252,-5,2
253,-5,2
254,-5,2
255,-5,2
256,-5,2
257,-5,2
258,-5,2
259,-5,2
260,-5,2
261,-5,2
262,-5,2
263,-5,2
264,-5,2
265,-5,2
266,-5,2
267,-5,2
268,-5,2
269,-5,2
270,-5,2
271,-5,2
272,-5,2
273,-5,2
274,-5,2
275,-5,2
276,-5,2
277,-5,2
278,-5,2
279,-5,2
280,-5,2
281,-5,2
282,-5,2
283,-5,2
284,-5,2
285,-5,2
286,-5,2
287,-5,2
288,-5,2
289,-5,2
290,-5,2
291,-5,2
292,-5,2
293,-5,2
294,-5,2
295,-5,2
296,-5,2
297,-5,2
298,-5,2
299,-5,2
300,-5,2
301,-5,2
302,-5,2
303,-5,2
304,-5,2
305,-5,2
306,-5,2
307,-5,2
308,-5,2
309,-5,2
310,-5,2
311,-5,2
312,-5,2
313,-5,2
314,-5,2
315,-5,2
316,-5,2
317,-5,2
318,-5,2
319,-5,2
320,-5,2
321,-5,2
322,-5,2
323,-5,2
324,-5,2
325,-5,2
326,-5,2
327,-5,2
328,-5,2
329,-5,2
330,-5,2
331,-5,2
332,-5,2
333,-5,2
334,-5,2
335,-5,2
336,-5,2
337,-5,2
338,-5,2
339,-5,2
340,-5,2
341,-5,2
342,-5,2
343,-5,2
344,-5,2
345,-5,2
346,-5,2
347,-5,2
348,-5,2
349,-5,2
350,-5,2
351,-5,2
352,-5,2
353,-5,2
354,-5,2
355,-5,2
356,-5,2
357,-5,2
358,-5,2
359,-5,2
360,-5,2
361,-5,2
362,-5,2
363,-5,2
364,-5,2
365,-5,2
366,-5,2
367,-5,2
368,-5,2
369,-5,2
370,-5,2
371,-5,2
372,-5,2
373,-5,2
374,-5,2
375,-5,2
376,-5,2
377,-5,2
378,-5,2
379,-5,2
380,-5,2
381,-5,2
382,-5,2
383,-5,2
384,-5,2
385,-5,2
386,-5,2
387,-5,2
388,-5,2
389,-5,2
390,-5,2
