Experiment11: ,"Depth, 3d, sequence 8, it: 1000"
0,-4
1,-6
2,-8
3,-8
4,-10
5,-10
6,-10
7,-11
8,-12
9,-12
10,-12
11,-12
12,-12
13,-12
14,-12
15,-12
16,-12
17,-13
18,-13
19,-13
20,-13
21,-13
22,-13
23,-13
24,-13
25,-13
26,-13
27,-13
28,-13
29,-13
30,-13
31,-13
32,-13
33,-13
34,-13
35,-17
36,-17
37,-17
38,-17
39,-17
40,-17
41,-17
42,-17
43,-17
44,-17
45,-17
46,-17
47,-17
48,-17
49,-17
50,-17
51,-17
52,-17
53,-17
54,-17
55,-17
56,-17
57,-17
58,-17
59,-17
60,-17
61,-17
62,-17
63,-17
64,-17
65,-17
66,-17
67,-17
68,-17
69,-17
70,-17
71,-17
72,-17
73,-17
74,-17
75,-17
76,-17
77,-17
78,-17
79,-17
80,-17
81,-17
82,-17
83,-17
84,-17
85,-17
86,-17
87,-17
88,-17
89,-17
90,-17
91,-17
92,-17
93,-17
94,-17
95,-17
96,-17
97,-17
98,-17
99,-17
100,-17
101,-17
102,-17
103,-17
104,-17
105,-17
106,-17
107,-17
108,-17
109,-17
110,-17
111,-17
112,-17
113,-17
114,-17
115,-17
116,-17
117,-17
118,-17
119,-17
120,-17
121,-17
122,-17
123,-17
124,-17
125,-17
126,-17
127,-17
128,-17
129,-17
130,-17
131,-17
132,-17
133,-17
134,-17
135,-17
136,-17
137,-17
138,-17
139,-17
140,-17
141,-17
142,-17
143,-17
144,-17
145,-17
146,-17
147,-17
148,-17
149,-17
150,-17
151,-17
152,-17
153,-17
154,-17
155,-17
156,-17
157,-17
158,-17
159,-17
160,-17
161,-17
162,-17
163,-17
164,-17
165,-18
166,-18
167,-18
168,-18
169,-18
170,-18
171,-18
172,-18
173,-18
174,-18
175,-18
176,-18
177,-18
178,-18
179,-18
180,-18
181,-18
182,-18
183,-18
184,-18
185,-18
186,-18
187,-18
188,-18
189,-18
190,-18
191,-18
192,-18
193,-18
194,-18
195,-18
196,-18
197,-18
198,-18
199,-18
200,-18
