Experiment14: ,"Depth, 3d, sequence 7, it: 1000"
0,-9
1,-11
2,-11
3,-11
4,-12
5,-12
6,-12
7,-12
8,-13
9,-13
10,-13
11,-13
12,-13
13,-13
14,-13
15,-13
16,-13
17,-13
18,-13
19,-13
20,-13
21,-13
22,-13
23,-13
24,-13
25,-13
26,-13
27,-13
28,-13
29,-13
30,-13
31,-13
32,-13
33,-15
34,-15
35,-15
36,-15
37,-16
38,-16
39,-16
40,-16
41,-16
42,-16
43,-16
44,-16
45,-16
46,-16
47,-16
48,-16
49,-16
50,-16
51,-16
52,-16
53,-16
54,-16
55,-16
56,-16
57,-16
58,-16
59,-16
60,-16
61,-16
62,-16
63,-16
64,-16
65,-16
66,-16
67,-16
68,-16
69,-16
70,-16
71,-16
72,-16
73,-16
74,-16
75,-16
76,-16
77,-16
78,-16
79,-16
80,-16
81,-16
82,-16
83,-16
84,-16
85,-16
86,-16
87,-16
88,-16
89,-16
90,-17
91,-17
92,-17
93,-17
94,-17
95,-17
96,-17
97,-17
98,-17
99,-17
100,-18
101,-18
102,-18
103,-18
104,-18
105,-18
106,-18
107,-18
108,-18
109,-18
110,-18
111,-18
112,-18
113,-18
114,-18
115,-18
116,-18
117,-18
118,-18
119,-18
120,-18
121,-18
122,-18
123,-18
124,-21
125,-21
126,-21
127,-21
128,-21
129,-21
130,-21
131,-21
132,-21
133,-21
134,-21
135,-21
136,-21
137,-21
138,-21
139,-21
140,-21
141,-21
142,-21
143,-22
144,-24
145,-24
146,-24
147,-24
148,-24
149,-24
150,-24
151,-24
152,-24
153,-24
154,-24
155,-24
156,-24
157,-24
158,-24
159,-24
160,-24
161,-24
162,-24
163,-24
164,-24
165,-24
166,-24
167,-24
168,-24
169,-24
170,-24
171,-24
172,-24
173,-24
174,-24
175,-24
176,-24
177,-24
178,-24
179,-24
180,-24
181,-24
182,-24
183,-24
184,-24
185,-24
186,-24
187,-24
188,-24
189,-24
190,-24
191,-24
192,-24
193,-24
194,-24
195,-24
196,-24
197,-24
198,-24
199,-24
200,-24
201,-24
202,-24
203,-24
204,-24
205,-24
206,-24
207,-24
208,-24
209,-24
210,-24
211,-24
212,-24
213,-24
214,-24
215,-24
216,-24
217,-24
218,-24
219,-24
220,-25
221,-25
222,-25
223,-25
224,-25
225,-25
226,-25
227,-25
228,-25
229,-25
230,-25
231,-25
232,-25
233,-25
234,-25
235,-25
236,-25
237,-25
238,-25
239,-25
240,-25
241,-25
242,-25
243,-25
244,-25
245,-25
246,-25
247,-25
248,-25
249,-25
250,-25
251,-25
252,-25
253,-25
254,-25
255,-25
256,-25
257,-25
258,-25
259,-25
260,-25
261,-25
262,-25
263,-25
264,-25
265,-25
266,-25
267,-25
268,-25
269,-25
270,-25
271,-25
272,-25
273,-25
274,-25
275,-25
276,-25
277,-25
278,-25
279,-25
280,-25
281,-25
282,-25
283,-25
284,-25
285,-25
286,-25
287,-25
288,-26
289,-26
290,-26
291,-26
292,-26
293,-26
294,-26
295,-26
296,-26
297,-27
298,-27
299,-27
300,-27
301,-27
302,-27
303,-27
304,-27
305,-27
306,-27
307,-27
308,-27
309,-27
310,-27
311,-27
312,-27
313,-27
314,-27
315,-27
316,-27
317,-27
318,-27
319,-27
320,-27
321,-27
322,-27
323,-27
324,-27
325,-27
326,-27
327,-27
328,-27
329,-27
330,-27
331,-27
332,-27
333,-27
334,-27
335,-27
336,-27
337,-27
338,-27
339,-27
340,-27
341,-27
342,-27
343,-27
344,-27
345,-27
346,-27
347,-27
348,-27
349,-27
350,-27
351,-27
352,-27
353,-27
354,-27
355,-27
356,-27
357,-27
358,-27
359,-27
360,-27
361,-27
362,-27
363,-27
364,-27
365,-27
366,-27
367,-27
368,-27
369,-27
370,-27
371,-27
372,-27
373,-27
374,-27
375,-27
376,-27
377,-27
378,-27
379,-27
380,-27
381,-27
382,-27
383,-27
384,-27
385,-27
386,-27
387,-27
388,-27
389,-27
390,-27
391,-27
392,-27
393,-27
394,-27
395,-27
396,-27
397,-27
398,-27
399,-27
400,-27
401,-27
402,-27
403,-27
404,-27
405,-27
406,-27
407,-27
408,-27
409,-27
410,-27
411,-27
412,-27
413,-27
414,-27
415,-27
416,-27
417,-27
418,-27
419,-27
420,-27
421,-27
422,-27
423,-27
424,-27
425,-27
426,-27
427,-27
428,-27
429,-27
430,-27
431,-27
432,-27
433,-27
434,-27
435,-27
436,-27
437,-27
438,-27
439,-27
440,-27
441,-27
442,-27
443,-27
444,-27
445,-27
446,-27
447,-27
448,-27
449,-27
450,-27
451,-27
452,-27
453,-27
454,-27
455,-27
456,-27
457,-27
