Experiment14: ,"Depth, 3d, sequence 7, it: 1000"
0,-9
1,-9
2,-10
3,-10
4,-10
5,-13
6,-13
7,-13
8,-13
9,-13
10,-13
11,-13
12,-13
13,-13
14,-13
15,-13
16,-13
17,-13
18,-14
19,-16
20,-16
21,-16
22,-16
23,-16
24,-16
25,-16
26,-16
27,-16
28,-16
29,-16
30,-16
31,-16
32,-16
33,-16
34,-16
35,-16
36,-16
37,-16
38,-16
39,-16
40,-16
41,-16
42,-19
43,-19
44,-19
45,-19
46,-19
47,-19
48,-19
49,-19
50,-19
51,-19
52,-19
53,-19
54,-19
55,-19
56,-20
57,-20
58,-20
59,-20
60,-20
61,-20
62,-20
63,-20
64,-20
65,-20
66,-20
67,-20
68,-20
69,-20
70,-20
71,-20
72,-20
73,-20
74,-20
75,-20
76,-20
77,-20
78,-20
79,-20
80,-20
81,-20
82,-20
83,-20
84,-20
85,-20
86,-20
87,-20
88,-20
89,-20
90,-20
91,-20
92,-20
93,-20
94,-20
95,-20
96,-20
97,-20
98,-20
99,-20
100,-20
101,-20
102,-20
103,-20
104,-20
105,-20
106,-20
107,-20
108,-20
109,-20
110,-20
111,-20
112,-20
113,-20
114,-20
115,-20
116,-20
117,-20
118,-20
119,-20
120,-20
121,-20
122,-20
123,-20
124,-20
125,-20
126,-20
127,-20
128,-20
129,-20
130,-20
131,-20
132,-23
133,-23
134,-23
135,-23
136,-23
137,-23
138,-23
139,-23
140,-23
141,-23
142,-23
143,-23
144,-23
145,-23
146,-23
147,-23
148,-23
149,-23
150,-23
151,-23
152,-23
153,-23
154,-23
155,-23
156,-23
157,-23
158,-23
159,-23
160,-23
161,-23
162,-23
163,-23
164,-23
165,-23
166,-23
167,-23
168,-23
169,-23
170,-23
171,-23
172,-23
173,-23
174,-23
175,-23
176,-23
177,-23
178,-23
179,-23
180,-23
181,-23
182,-23
183,-23
184,-23
185,-23
186,-23
187,-23
188,-23
189,-23
190,-23
191,-23
192,-23
193,-23
194,-23
195,-23
196,-23
197,-23
198,-23
199,-23
200,-23
201,-23
202,-23
203,-23
204,-23
205,-23
206,-23
207,-23
208,-23
209,-23
210,-23
211,-23
212,-23
213,-23
214,-23
215,-23
216,-23
217,-23
218,-23
219,-23
220,-23
221,-23
222,-23
223,-23
224,-23
225,-23
226,-23
227,-23
