Experiment10: ,"Random, 3d, sequence 8, it: 1000"
0,-1
1,-2
2,-4
3,-5
4,-6
5,-6
6,-6
7,-6
8,-7
9,-7
10,-7
11,-7
12,-7
13,-7
14,-7
15,-7
16,-7
17,-7
18,-7
19,-7
20,-7
21,-7
22,-7
23,-7
24,-7
25,-7
26,-7
27,-7
28,-7
29,-7
30,-7
31,-7
32,-7
33,-7
34,-7
35,-7
36,-7
37,-7
38,-7
39,-7
40,-7
41,-7
42,-7
43,-7
44,-7
45,-7
46,-7
47,-7
48,-7
49,-7
50,-7
51,-7
52,-7
53,-7
54,-7
55,-7
56,-7
57,-7
58,-7
59,-7
60,-7
61,-8
62,-8
63,-8
64,-8
65,-8
66,-8
67,-8
68,-8
69,-8
70,-8
71,-9
72,-9
73,-11
74,-11
75,-11
76,-11
77,-11
78,-11
79,-11
80,-11
81,-11
82,-12
83,-12
84,-12
85,-14
86,-14
87,-15
88,-15
89,-15
90,-15
91,-15
92,-15
93,-15
94,-15
95,-15
96,-15
97,-15
98,-15
99,-15
100,-15
101,-15
102,-15
103,-15
104,-15
105,-15
106,-15
107,-15
108,-15
109,-15
110,-15
111,-15
112,-15
113,-15
114,-15
115,-15
116,-15
117,-15
118,-15
119,-15
120,-15
121,-15
122,-15
123,-15
124,-15
125,-15
126,-15
127,-15
128,-15
129,-15
130,-15
131,-15
132,-15
133,-15
134,-15
135,-15
136,-15
137,-15
138,-15
139,-15
140,-15
141,-15
142,-15
143,-15
144,-15
145,-15
146,-15
147,-15
148,-15
149,-15
150,-15
151,-15
152,-15
153,-15
154,-15
155,-15
156,-16
157,-16
158,-16
159,-16
160,-16
161,-16
162,-16
163,-19
164,-19
165,-19
166,-19
167,-19
168,-19
169,-19
170,-19
171,-19
172,-19
173,-19
174,-20
175,-20
176,-20
177,-20
178,-20
179,-20
180,-20
181,-20
182,-20
183,-20
184,-20
185,-20
186,-20
187,-20
188,-20
189,-20
190,-20
191,-20
192,-20
193,-20
194,-20
195,-20
196,-20
197,-20
198,-20
199,-20
200,-20
201,-20
202,-20
203,-20
204,-20
205,-20
206,-21
207,-21
208,-21
209,-22
210,-22
211,-22
212,-22
213,-22
214,-22
215,-22
216,-22
217,-22
218,-22
219,-22
220,-22
221,-22
222,-22
223,-22
224,-22
225,-22
226,-22
227,-22
228,-22
229,-22
230,-22
231,-22
232,-22
233,-22
234,-22
235,-22
236,-22
237,-22
238,-22
239,-22
240,-22
241,-22
242,-22
243,-22
244,-22
245,-22
246,-22
247,-22
248,-22
249,-22
250,-22
251,-22
252,-22
253,-22
254,-22
255,-22
256,-22
257,-22
258,-22
259,-22
260,-22
261,-22
262,-22
263,-22
264,-22
265,-22
266,-22
267,-22
268,-22
269,-22
270,-22
271,-22
272,-22
273,-22
274,-22
275,-22
276,-22
277,-22
278,-22
279,-22
280,-22
281,-22
282,-22
283,-22
284,-22
285,-22
286,-22
287,-22
288,-22
289,-22
290,-22
291,-22
292,-22
293,-22
294,-22
295,-22
296,-22
297,-22
298,-22
299,-22
300,-22
301,-22
302,-22
303,-22
304,-22
305,-22
306,-22
307,-22
308,-22
309,-22
310,-22
311,-22
312,-22
313,-22
314,-22
315,-22
316,-22
317,-22
318,-22
319,-22
320,-22
321,-22
322,-22
323,-22
324,-22
325,-22
326,-22
327,-22
328,-22
329,-22
330,-22
331,-22
332,-22
333,-22
334,-22
335,-22
336,-22
337,-22
338,-22
339,-22
340,-22
341,-22
342,-22
343,-22
344,-22
345,-22
346,-22
347,-22
348,-22
349,-22
350,-22
351,-22
352,-22
353,-22
354,-22
355,-22
356,-22
357,-22
358,-22
359,-22
360,-22
361,-22
362,-22
363,-22
364,-22
365,-22
366,-22
367,-22
368,-22
369,-22
370,-22
371,-22
372,-22
373,-22
374,-22
375,-22
376,-22
377,-22
378,-24
379,-24
380,-24
381,-24
382,-24
383,-24
384,-24
385,-24
386,-24
387,-24
388,-24
389,-24
390,-24
391,-24
392,-24
393,-24
394,-24
395,-24
396,-24
397,-24
398,-24
399,-24
400,-24
401,-24
402,-24
403,-24
404,-24
405,-24
406,-24
407,-24
408,-24
409,-24
410,-24
411,-24
412,-24
413,-24
414,-24
415,-24
416,-24
417,-24
418,-24
419,-24
420,-24
421,-24
422,-24
423,-24
424,-24
425,-24
426,-24
427,-24
428,-24
429,-24
430,-24
431,-24
432,-24
433,-24
434,-24
435,-24
436,-24
437,-24
438,-24
439,-24
440,-24
441,-24
442,-24
443,-24
444,-24
445,-24
446,-24
447,-24
448,-24
449,-24
450,-24
451,-24
452,-24
453,-24
454,-24
455,-24
456,-24
457,-24
458,-24
459,-24
460,-24
461,-24
462,-24
463,-24
464,-24
465,-24
466,-24
467,-24
468,-24
469,-24
470,-24
471,-24
472,-24
473,-24
474,-24
475,-24
476,-24
477,-24
478,-24
479,-24
480,-24
481,-24
482,-24
483,-24
484,-24
485,-24
486,-24
487,-24
488,-24
489,-24
490,-24
491,-24
492,-24
493,-24
494,-24
495,-24
496,-24
497,-24
498,-24
499,-24
500,-24
501,-24
502,-24
503,-24
504,-24
505,-24
506,-24
507,-24
508,-24
509,-24
510,-24
511,-24
512,-24
513,-24
514,-24
515,-24
516,-24
517,-24
518,-24
519,-24
520,-24
521,-24
522,-24
523,-24
524,-24
525,-24
526,-24
527,-24
528,-24
529,-24
530,-24
531,-24
532,-24
533,-24
534,-24
535,-24
536,-24
537,-24
538,-24
539,-24
540,-24
541,-24
542,-24
543,-24
544,-24
545,-24
546,-24
547,-24
548,-24
549,-24
550,-24
551,-24
552,-24
553,-24
554,-24
555,-24
556,-24
557,-24
558,-24
559,-24
560,-24
561,-24
562,-24
563,-24
564,-24
565,-24
566,-24
567,-24
568,-24
569,-24
570,-24
571,-24
572,-24
573,-24
574,-24
575,-24
576,-24
577,-24
578,-24
579,-24
580,-24
581,-24
582,-24
583,-24
584,-24
585,-24
586,-24
587,-24
588,-24
589,-24
590,-24
591,-24
592,-24
593,-24
594,-24
595,-24
596,-24
597,-24
598,-24
599,-24
600,-24
601,-24
602,-24
603,-24
604,-24
605,-24
606,-24
607,-24
608,-24
609,-24
610,-24
611,-24
612,-24
613,-24
614,-24
615,-24
616,-24
617,-24
618,-24
619,-24
620,-24
621,-24
622,-24
623,-24
624,-24
625,-24
626,-24
627,-24
628,-24
629,-24
630,-24
631,-24
632,-24
633,-24
634,-24
635,-24
636,-24
637,-24
638,-24
639,-24
640,-24
641,-24
642,-24
643,-24
644,-24
645,-24
646,-24
647,-24
648,-24
649,-24
650,-24
651,-24
652,-24
653,-24
654,-24
655,-24
656,-24
657,-24
658,-24
659,-24
660,-24
661,-24
662,-24
663,-24
664,-24
665,-24
666,-24
667,-24
668,-24
669,-24
670,-24
671,-24
672,-24
673,-24
674,-24
675,-24
676,-24
677,-24
678,-24
679,-24
680,-24
681,-24
682,-24
683,-24
684,-24
685,-24
686,-24
687,-24
688,-24
689,-24
690,-24
691,-24
692,-24
693,-24
694,-24
695,-24
696,-24
697,-24
698,-24
699,-24
700,-24
701,-24
702,-24
703,-24
704,-24
705,-24
706,-24
707,-24
708,-24
709,-24
710,-24
711,-24
712,-24
713,-24
714,-24
715,-24
716,-24
717,-24
718,-24
719,-24
720,-24
721,-24
722,-24
723,-24
724,-24
725,-24
726,-24
727,-24
728,-24
729,-24
730,-24
731,-24
732,-24
733,-24
734,-24
735,-24
736,-24
737,-24
738,-24
739,-24
740,-24
741,-24
742,-24
743,-24
744,-24
745,-24
746,-24
747,-24
748,-24
749,-24
750,-24
751,-24
752,-24
753,-24
754,-24
755,-24
756,-24
757,-24
758,-24
759,-24
760,-24
761,-24
762,-24
763,-24
764,-24
765,-24
