Experiment12: ,"Straight, 3d, sequence 7, it: 1000"
0,0
1,0
2,0
3,0
4,0
5,-1
6,-1
7,-1
8,-1
9,-1
10,-2
11,-2
12,-2
13,-2
14,-2
15,-2
16,-2
17,-2
18,-2
19,-2
20,-2
21,-2
22,-2
23,-2
24,-7
25,-7
26,-7
27,-7
28,-7
29,-7
30,-7
31,-7
32,-7
33,-7
34,-7
35,-7
36,-7
37,-7
38,-7
39,-7
40,-8
41,-8
42,-8
43,-8
44,-8
45,-8
46,-8
47,-8
48,-8
49,-8
50,-8
51,-8
52,-8
53,-9
54,-9
55,-9
56,-9
57,-9
58,-9
59,-9
60,-9
61,-9
62,-9
63,-9
64,-13
65,-13
66,-13
67,-13
68,-13
69,-13
70,-13
71,-13
72,-13
73,-13
74,-13
75,-13
76,-13
77,-13
78,-13
79,-13
80,-13
81,-13
82,-13
83,-13
84,-13
85,-13
86,-13
87,-13
88,-13
89,-13
90,-13
91,-13
92,-13
93,-13
94,-13
95,-13
96,-13
97,-13
98,-14
99,-14
100,-14
101,-14
102,-14
103,-14
104,-14
105,-14
106,-14
107,-15
108,-15
109,-15
110,-15
111,-15
112,-15
113,-15
114,-15
115,-15
116,-15
117,-15
118,-15
119,-15
120,-15
121,-15
122,-15
123,-15
124,-15
125,-17
126,-17
127,-17
128,-17
129,-17
130,-17
131,-17
132,-17
133,-17
134,-17
135,-17
136,-17
137,-17
138,-17
139,-17
140,-17
141,-17
142,-17
143,-17
144,-17
145,-17
146,-17
147,-17
148,-17
149,-17
150,-17
151,-17
152,-17
153,-17
154,-17
155,-17
156,-17
157,-17
158,-17
159,-17
160,-17
161,-17
162,-17
163,-17
164,-17
165,-17
166,-17
167,-17
168,-17
169,-17
170,-17
171,-17
172,-17
173,-17
174,-17
175,-17
176,-17
177,-17
178,-17
179,-17
180,-17
181,-17
182,-17
183,-17
184,-17
185,-17
186,-17
187,-17
188,-17
189,-17
190,-17
191,-17
192,-17
193,-17
194,-17
195,-17
196,-17
197,-17
198,-17
199,-17
200,-17
201,-17
202,-17
203,-18
204,-18
205,-18
206,-18
207,-18
208,-18
209,-18
210,-18
211,-18
212,-18
213,-19
214,-19
215,-19
216,-19
217,-19
218,-19
219,-19
220,-19
221,-19
222,-19
223,-19
224,-21
225,-21
226,-21
227,-21
228,-21
229,-21
230,-21
231,-21
232,-21
233,-21
234,-21
235,-21
236,-21
237,-21
238,-21
239,-21
240,-21
241,-21
242,-21
243,-21
244,-21
245,-21
246,-21
247,-21
248,-21
249,-21
250,-21
251,-21
252,-21
253,-21
254,-21
255,-21
256,-21
257,-21
258,-21
259,-21
260,-21
261,-21
262,-21
263,-21
264,-21
265,-21
266,-21
267,-21
268,-21
269,-21
270,-21
271,-21
272,-21
273,-21
274,-21
275,-21
276,-21
277,-21
278,-21
279,-21
280,-21
281,-21
282,-21
283,-21
284,-21
285,-21
286,-21
287,-21
288,-21
289,-21
290,-21
291,-21
292,-21
293,-21
294,-21
295,-21
296,-21
297,-21
298,-21
299,-21
300,-21
301,-21
302,-21
303,-21
304,-21
305,-21
306,-21
307,-21
308,-21
309,-21
310,-21
311,-21
312,-21
313,-21
314,-21
315,-21
316,-21
317,-21
318,-21
319,-21
320,-21
321,-21
322,-21
323,-21
324,-21
325,-21
326,-21
327,-21
328,-21
329,-21
330,-21
331,-21
332,-21
333,-21
334,-21
335,-21
336,-21
337,-21
338,-21
339,-21
340,-21
341,-21
342,-21
343,-21
344,-21
345,-21
346,-21
347,-21
348,-21
349,-21
350,-21
351,-21
352,-21
353,-21
354,-21
355,-21
356,-21
357,-21
358,-21
359,-21
360,-21
361,-21
362,-21
363,-21
364,-21
365,-21
366,-21
367,-21
368,-21
369,-21
370,-21
371,-21
372,-21
373,-21
374,-21
375,-21
376,-21
377,-21
378,-21
379,-21
380,-21
381,-21
382,-21
383,-21
384,-21
385,-21
386,-21
387,-21
388,-21
389,-21
390,-21
391,-21
392,-21
393,-21
394,-21
395,-21
396,-21
397,-21
398,-21
399,-21
400,-21
401,-21
402,-21
403,-21
404,-21
405,-21
406,-21
407,-21
408,-21
409,-21
410,-21
411,-21
412,-21
413,-21
414,-21
415,-21
416,-21
417,-21
418,-21
419,-21
420,-21
421,-21
